transaction_id,submitter_IBAN,submitter_BIC,receiver_IBAN,receiver_BIC,reference,amount,currency,transaction_date,transaction_time,is_suspicious
9ea915d6-7109-496c-936f-04de0500c9f6,DE712167077280109206,UAHSGB4RUYN,DE928565899895193492,TPOWGBDBVCT,Evening store generation owner city party.,7686.11,USD,2020-02-26,04:27:10,False
0e4779d9-b5fe-4cbe-b32b-c038ebe5d0bd,DE770811822384937125,WYSXGBS1AUI,DE989410279551765976,FKAAGB9GR8Q,Offer argue have.,2690.88,USD,2020-03-20,16:15:02,False
f3f9cbf2-93b5-451c-812c-c895f7b4d7f5,DE897149994541611986,QXUBGBWLKZT,DE195080865466339767,WOBGGB9I7OX,Development economy position deal again during.,9816.26,EUR,2022-02-24,23:31:53,False
a7f96433-fe3e-4b19-b666-de75f98503e9,DE560439414877612315,KZACGBX4M1F,DE480035570780342238,GHULGB45EVO,Strategy conference stand difficult by I make bill.,191.32,EUR,2021-08-05,07:58:11,False
3063ed6d-fb88-4add-8ab1-e63cb5c3ac11,DE108174161180462918,ALHGGBFBQEW,DE276121187406629531,OXFRGB84MD8,Poor miss establish television.,7953.32,EUR,2021-04-22,14:57:32,False
c613fe65-2efb-428d-8b3d-6d144c42cce6,DE792852882765245956,OLKXGBZ4LZ3,DE966858263434594577,ZRLDGBLXJY0,Describe benefit they say.,7396.72,USD,2022-08-27,12:23:21,False
87911356-3cf6-44f4-82fa-0636700c8330,DE973949231390291190,UREKGB4Z5FN,DE398208038154621602,FVTWGBT6ZGL,Hour realize investment wear economic any.,2531.43,EUR,2022-09-09,22:17:02,False
afa739a9-f001-43a6-ba57-af102c0f065c,DE920216113939178389,TTAKGBCSNM9,DE321195089974103995,FWVOGBYGD0E,Fish account yard every remember.,2484.19,USD,2020-10-17,07:23:19,False
4dbc93d8-34e0-4faf-a40a-647c4220b4ce,DE098761163414085131,ASQDGB4AMKP,DE429805408646094564,FQIKGBZ712W,Stop agent offer service all.,4070.78,USD,2020-09-19,08:54:19,False
2d42842e-a4ca-4269-93f0-e9cbe2e4ae18,DE543691545054900682,TMDBGBGMNHV,DE710449455712838531,VYQIGBIXCEU,Read compare after interesting coach relationship.,9178.85,EUR,2022-04-10,05:41:35,False
fe7d0bc6-a997-4099-b524-acfb1c424b51,DE352300463435198419,DEPFGB6WK62,DE348045580733253256,VUZCGBSBJBW,Street class become lay.,9837.71,USD,2023-01-26,13:36:04,False
4828892c-396f-41ca-9e0c-c1475f729a08,DE655233960955237195,AZAQGBC44N6,DE798570510236824214,RVRSGBF2VGK,Theory kid either test son letter.,7323.38,USD,2022-04-10,13:21:09,False
3474bde2-5001-49dd-9890-85d6da30e57b,DE260850602111566709,MLJYGBBYG8D,DE651083334636702970,NZHSGB9J7OP,Skill whose even clear.,5315.05,USD,2021-07-22,14:21:13,False
a90ab8b4-5647-4d01-bd59-3c3adbe2fcf7,DE183150519804920238,XQHSGBFD376,DE232413985404216894,TJDAGBHAMAR,Future thank back upon ever phone.,6939.3,USD,2022-07-10,12:19:48,False
a8efbd80-d873-4f08-bccb-d8f2c929413c,DE510725261893312016,AKJUGBPPGU8,DE406004359770958055,TRYXGBPFXB9,Happy check old wait believe.,5724.87,EUR,2021-01-21,06:51:24,False
f112f0ba-58cc-47da-a5a1-ead327dffec6,DE730853137442106363,WPQRGBG3LKJ,DE328461843838173582,ERQRGBR8PUQ,Surface watch lead world land almost.,1699.78,USD,2020-06-19,03:58:18,False
875e74ef-2a24-4f80-be12-1fa657fc9f25,DE741224040787664889,BETCGBH825F,DE882192907250960955,LQSHGBRSBB2,Stage upon indicate teach buy mission stuff outside.,2337.43,USD,2021-10-24,17:12:40,False
27de2fae-d551-4548-a9e8-4d70e77dda55,DE674641874725803059,QNEPGB09YE8,DE342038489905632004,QGSLGBCV68G,Position institution way impact.,667.94,USD,2023-12-24,17:17:05,False
7b7c3681-15ff-4dde-a9d8-23f6db7bb4d3,DE864741431188538868,LYBGGBQ3LXS,DE832597738573237941,WGLZGBB2WXL,Determine none what.,5330.4,EUR,2020-09-19,06:02:17,False
0fe03481-562a-47e5-8cd1-f1c311525779,DE106111625442941997,NVHQGBPZDOX,DE614623359176174655,GACPGBX9D6A,Experience movement economic pick nearly general.,8742.39,USD,2022-12-08,06:11:25,False
7c3348b4-a3c1-4793-9a01-aae8bd46fba8,DE849524181773503697,UFNWGB2UWCO,DE636007589843758357,RQTRGBX4UDM,Produce their trouble new.,8789.97,USD,2024-03-31,10:15:24,False
63e59e6c-e2ee-4582-aff6-5044c12c1938,DE573156818296131251,ZEOLGB5CCIH,DE379884446456382637,ESLIGBYLWNH,Manager maintain big.,1960.08,USD,2022-05-05,01:37:10,False
b553f930-a438-4de8-8428-f0c551d2edd5,DE941961548882953221,YHMUGB172T3,DE305352690855095759,GKIHGBFAOWS,Work authority various forget job your effect.,1314.58,USD,2021-11-22,09:14:52,False
cc2d7a92-b66e-48c7-a660-88170ad99788,DE153738712733313254,KZNXGBCMOG1,DE426428157409337716,MEBWGBF7MRL,Would argue child happen.,1381.59,EUR,2022-10-08,05:32:28,False
fb36dec3-9b7b-4c24-b413-ebcc13d185e6,DE096267945613186345,RJDJGBM7DYV,DE701080317380590121,EGJTGBGSPDS,Return interview boy or build although force study.,9238.79,EUR,2022-07-25,04:03:03,False
bf087231-c1a1-452f-92e9-2f7b9e89be48,DE263904788339742234,EDWZGBICLJC,DE207786996167138889,NNDQGBHKW5F,Smile might radio international part fill Congress.,7753.35,USD,2021-11-29,04:11:19,False
e44f393a-115d-405d-b3bb-6ca1706788cd,DE321488450989009487,YKSLGB3EWRY,DE301003737656468712,QUJOGBW3ICD,Fall color prepare provide.,10.02,USD,2021-07-20,02:56:23,False
2cb82b7a-084e-4077-984d-09abf82d83d5,DE457955860640756067,TRRSGBL0WRV,DE504278156737893374,HQRCGB5JWA8,Play major six decide probably follow.,1500.96,EUR,2020-09-09,09:02:39,False
723a964b-59a5-4887-97b6-ef84198ca692,DE919912674967517498,KLTNGB7FNI2,DE059952172035116938,XAWOGBH26DB,Once around world future hear join.,1287.09,USD,2022-09-07,09:29:50,False
45f0c6b0-dd21-4755-b2eb-6a5f00689e7d,DE750144760097173449,HBTOGBHCBGD,DE494693482581500663,DIZLGB2H2DL,For sure sure charge.,2669.62,EUR,2020-06-11,21:26:02,False
d278ce96-4020-4b8e-9722-da9c9d86a2f1,DE151617754705935451,IMUZGBUBWEK,DE024451755429876911,MTPKGB4LNDA,Them threat possible social trouble understand.,200.32,EUR,2023-11-14,16:24:22,False
9c7a4e36-3d6d-4cd6-ba45-f38018cf68b6,DE651667296933707795,DXYHGB5WAAK,DE878967151376843144,UXWFGB3DX7X,Girl ever help fact.,5143.57,EUR,2021-08-03,14:58:04,False
b84a10d8-ef2f-4218-a9b7-db613f8706f6,DE927536239759101993,IZIAGBOOOZ4,DE543045526489889015,HRHCGB03N0B,Its current same wish apply.,3015.41,EUR,2021-08-29,00:10:29,False
e0d808f9-9fee-4bd7-9865-b1c582e9bdd3,DE047697228228167057,DUVGGBH94FS,DE269955481379657416,NXGHGB6YBAC,Assume good meeting risk.,2418.21,EUR,2023-09-18,03:33:15,False
5094079e-f293-42fd-a8b5-422fc9de5ab3,DE342927897232265004,BDBRGBV54D4,DE189859600771520750,HUMMGBJF97A,Majority heavy believe matter economy.,1307.85,USD,2023-08-05,03:38:45,False
34df210e-0202-4b0b-a919-9024f2b5e3cc,DE950897346363389307,LDEDGBUNNOC,DE506465770904053838,KILUGBZXJ2B,Reveal establish choice relationship magazine bar eye.,4184.1,USD,2023-05-30,01:24:14,False
70d65646-6bd4-4f2c-bfc9-297d942095ab,DE035564802904216108,OGRZGBFODX7,DE987631651662217087,THERGBXWZQK,Move again unit computer always natural apply.,4338.35,EUR,2023-10-12,21:06:22,False
4be131f4-541b-40c4-9678-e9c9d96147b3,DE326948421366302056,KTWFGBAFEZQ,DE013974883540992767,ICDZGB8UBFM,Yourself meet animal part adult speak.,656.97,USD,2021-11-27,14:36:40,False
7dd8be34-b641-45bd-a6c8-2bb90a793d44,DE972573740746079305,ZIHOGB31JB1,DE175182137212306491,AIHOGB95E20,Heart front black college.,4227.98,EUR,2022-09-03,18:17:23,False
10abdf0a-a16f-42c4-9fe0-069f3670d71d,DE955936112598449306,TCVRGB5Y5JD,DE057155901585307493,VDCBGBTI21W,Tough live woman.,6109.71,USD,2023-06-13,07:05:57,False
e96238c1-33ff-445c-be63-96c6760251b0,DE962008397631437707,BZGNGBW46VX,DE075550699802945176,KPAWGBGD5TA,Concern girl card half.,4229.94,EUR,2022-10-20,11:51:01,False
b3935fb3-672b-47dd-a845-521241a8c34b,DE361933224968172925,BKOSGBWN3KD,DE950972511821814168,KIUEGBW6NA4,Realize machine move little.,5273.56,USD,2020-01-19,17:01:12,False
