transaction_id,submitter_IBAN,submitter_BIC,receiver_IBAN,receiver_BIC,reference,amount,currency,transaction_date,transaction_time,is_suspicious
250dfadb-b24f-4ba6-8c9b-0e614623904f,DE442087066711882236,FFREGB77F0F,DE383287449354828500,ATPVGBL0O0T,Bit call method.,642.7,USD,2021-08-12,16:51:40,False
903030e7-da40-444b-be82-be966ce63f05,DE612098759984641862,CUZUGBGAKG5,DE990723201297474465,CJCUGB63AWF,General over cell customer professional.,7524.21,EUR,2020-08-20,12:32:19,False
ab4b0109-fa6f-4220-91b3-e5e70afd1742,DE040751628976241146,PUFPGBAIAT8,DE496659484057168656,OEYBGBAMBEI,Behind science recently same.,6451.11,EUR,2023-03-01,15:27:25,False
8fe2ea6d-4cf0-448d-9bdc-8e6e4222d81e,DE384415648655263783,HLXKGB9HEOK,DE001532809467921990,PBUJGB2OKZM,Read return mean political reduce culture.,7215.42,EUR,2023-02-05,12:13:20,False
24f0527f-5ae4-487f-aa01-d43e30be5dc8,DE183464949785624730,WVQOGBQNUGD,DE737819156170119545,IUWWGBQCIHB,Head threat teacher quality.,6258.57,EUR,2022-12-06,17:39:00,False
276bc473-1122-419b-adf6-bc948a983ff7,DE352914737971201696,EKOMGBDTQKU,DE214175904107792752,WILQGBIVBJ7,Pull particular cover later.,4090.71,EUR,2023-07-14,06:09:45,False
9b662c83-40be-4d00-97bd-3fbe71fcc4d7,DE003223498131184574,WYDMGBS3H8P,DE825527619973343476,TNIPGBP0NV4,Kitchen across describe ahead give determine way.,6263.56,EUR,2024-01-02,07:52:55,False
ee4e306f-fb84-4bee-8865-5354f04b5a34,DE316520311323390163,LFSLGB7Z71U,DE195376852867772179,JHXSGB019QD,General serve room view.,821.31,EUR,2022-10-16,03:18:24,False
47a6d775-118e-4ed0-bf91-48cf9a2f9f00,DE420165381243850330,BGMGGBQPCBX,DE459957399821897824,BJKZGBBLL3U,Mother reality office.,9171.79,USD,2021-05-13,09:03:29,False
a1a92a40-f64b-4449-88ff-e4190741fcde,DE598935987828414021,OLIBGB2AVNZ,DE669984740261375805,QALSGB0T3NV,Notice maintain until successful first meet agree.,577.13,EUR,2023-05-31,22:28:33,False
93afb4e3-edbe-44c6-b326-3b178ea8aa4d,DE527016453371580136,RCHJGB42OK5,DE027113172616348323,ZCUJGBYOKJC,Such natural her.,9691.52,EUR,2024-05-12,01:32:37,False
0bc38b36-5adb-4e57-b69f-be9bfdc25547,DE010979253783221245,DWXNGBYHPTN,DE974530741528272993,UGXCGBG9Q16,So big exactly interest similar push old.,4468.33,EUR,2022-02-20,16:06:39,False
5cdb3d2f-d33f-4015-aa31-9aa09141c361,DE184118496347326822,YZEYGBYB7SZ,DE824915282704585337,XGWJGBV33N7,Strong cell through tax popular.,9913.0,USD,2022-09-13,10:50:41,False
3bd96703-b5d2-4645-8f66-f03daa6f732f,DE544779767627397844,BKYAGBH6RX4,DE027714553335618365,JEMWGBU54G6,To compare factor second ahead design strategy.,8350.62,EUR,2023-12-15,20:45:52,False
06828662-b284-4c56-9899-7ea8eca71ee4,DE795024421968358885,UGZVGBHEPTC,DE684875172235655236,HDCYGBSD88Z,Form those however Congress career report.,7657.74,EUR,2022-10-24,15:45:33,False
87370009-1f5c-4597-9df2-9af2ece1a515,DE099011642601485080,BFWQGB3SZBC,DE251619962625708275,LPOYGBX3UH4,Name nature off already tonight thought treatment benefit.,4397.1,EUR,2022-07-27,23:04:27,False
05d3e412-aaea-47db-bec8-77604a44657b,DE274552359129357982,ZDIYGBOQXZ4,DE557532251400424364,XELWGBGMBPT,Us democratic into least fill brother huge.,5734.8,EUR,2021-01-04,00:46:03,False
2e2bbe42-b425-466e-a6c3-49944b169cf4,DE663599301040679358,RSBNGBMOHC0,DE904068665045935999,ZLBQGB72SAJ,Agree then job couple how.,2092.99,USD,2022-05-10,02:05:58,False
52d568c4-e096-430f-827c-7a9df4ad611b,DE069547769005156129,SADOGBZM4PL,DE582794168616961195,WMRWGBDLY2H,Report grow right the section talk argue.,2451.39,USD,2020-02-18,10:36:24,False
