transaction_id,submitter_IBAN,submitter_BIC,receiver_IBAN,receiver_BIC,reference,amount,currency,transaction_date,transaction_time,is_suspicious
9c43520c-2109-4223-bf6a-763c48146f7f,DE346773101595750469,NHNWGBG7H3L,DE843166069682866370,BAJCGB7WAOI,Enough information structure.,166.37,EUR,2021-12-15,12:59:03,False
9e51a10d-c41f-4154-96dc-99f9a1271233,DE156933190185537548,PGUDGBTAPK9,DE673694731691646937,UNGDGB5EDMV,Begin necessary guess special property mission.,7599.46,USD,2023-09-08,09:22:54,False
892707a8-a410-4276-8564-616e91185fa8,DE512460527890079225,KVEBGB9Q2J2,DE595457487363027934,BHBCGBNJNGN,Daughter table expect about role.,2136.82,EUR,2022-03-21,23:49:23,False
094da65d-ee60-4914-bbfc-f6f72e55dcc4,DE262040097297287713,QOHVGBNRN9S,DE406598916307664581,JNOKGBFLHAC,Participant bad statement wall organization.,3125.45,USD,2022-07-07,04:58:16,False
dad68fb8-af1f-4e4d-95a0-fd853c2823c7,DE072507935756933691,QHACGBVXCIL,DE043600528115121283,YZJAGB46QY2,While whom up blood hear stage.,2680.27,USD,2020-01-27,05:35:30,False
76ed5734-6a1c-4944-8410-def297057b34,DE205274035618789084,CDMSGBQX5YS,DE093156309209441130,QBBLGBJ4I0Y,Bag meeting allow impact necessary.,3071.35,USD,2024-05-10,05:16:15,False
c292408f-a952-4350-a63b-4e82a6c5b202,DE936498389492522990,HSCHGB5CHTX,DE199069784253428110,QCRVGB4JZQK,By learn them cold gas door whole.,5343.64,EUR,2020-07-19,22:08:27,False
a4f4b07e-c3d1-4944-828a-02d064a593a0,DE902575073172895659,CVYJGB9FK18,DE510102944595506553,FEQVGBRATZJ,Claim product price give standard particular subject.,5373.92,EUR,2020-10-17,03:12:35,False
35a7d7c8-efdb-4a0c-98f5-80c21c920cc2,DE897959331668534943,ZKXHGB1MZXQ,DE111583037437590921,VYLEGBED4JJ,Build among process travel home.,5727.44,USD,2020-11-19,20:23:37,False
8c1fbf58-1fe0-4294-8627-44954049481d,DE143023147397917216,EKEYGBR0VJ7,DE090015389032478200,DUTLGB2MNCC,Sit exist tend travel in collection point.,242.81,USD,2024-03-13,16:37:59,False
5336fb5c-7179-46e0-9454-3a53abad73c4,DE761356657547055414,BZZXGBHR7VV,DE659108725224842069,WUUCGBZLKAS,Kind manager may arm attention across check.,6337.16,EUR,2023-03-01,11:33:15,False
377c861f-f9d8-406e-aa7e-d09cbf509a0f,DE708756746508818679,TOSXGBZTC2I,DE438724693000400163,EYSRGBRP222,Risk deal avoid change toward couple card.,4605.35,USD,2022-09-30,04:25:47,False
3e4f4c27-a8db-4743-a0e3-e07db9d09b4d,DE309850259677329453,ZKEFGBKVHBH,DE865263543702397518,VTJKGBEVCO0,Fund short age a increase treatment you.,809.08,EUR,2022-08-13,17:50:42,False
ef01dc1e-b5d2-4716-a501-3ec3008ac485,DE453411488178063268,KBTIGBAKO4E,DE691942534483420264,DBDZGBBOAT8,Likely movement law a use significant.,5938.04,EUR,2024-04-14,07:46:11,False
a0522e51-f8f0-4e11-97cf-0dc0f893dd12,DE561004157153375685,BKTWGB23M8M,DE622337384031457839,TGJHGBZZA2O,Hot year when.,5062.89,USD,2022-10-24,22:58:12,False
62171a76-f2d4-4d50-bade-6149afe6a61b,DE227194506650291314,ECLUGBH06C9,DE815788059932308020,QTTEGBH0DRF,Sport front huge others idea worry.,4673.1,USD,2022-07-25,14:50:44,False
4065d08a-2b87-4fe0-acf3-3d36b1ea572e,DE070642840008753675,CQTGGBJ95TK,DE664323769410163035,UYXCGB8W5YA,Result hear trade employee.,8299.51,EUR,2023-10-09,12:48:34,False
d246b66c-728e-49cc-8ca9-22d6e4da306b,DE478265429528933581,JVZCGBFJ956,DE533299052760708235,MMIMGBJYY11,Politics likely use go teach without.,1988.35,EUR,2020-10-21,12:33:21,False
2674579f-71c9-490d-9960-986b9423a5a5,DE060969217382024597,PGUJGB459IA,DE924007038159461146,QLSQGBDIODX,All consider until friend record this develop.,4356.58,USD,2021-10-24,05:52:04,False
5ffdb30e-08ab-4309-a38f-d87457ebb1ef,DE357769020772534252,SKNQGBSOADW,DE709748638491965717,YHMYGBB2EEK,Likely worry common author.,8695.92,EUR,2022-06-04,04:09:00,False
4977d917-9196-4a80-8119-04ebed7807ef,DE955388728688410695,UPPJGBD3MAW,DE285445977001250971,GSSUGB1W72T,Himself citizen despite television article rest prove.,9657.31,EUR,2024-01-06,20:25:09,False
e743ed77-1323-4c5b-b488-819d8f0d93fe,DE172833165851277381,TSXEGBRCO8G,DE754065495939213113,HOGJGB4RFJU,Professor very time goal half determine reality.,9888.27,USD,2023-11-20,17:53:54,False
