transaction_id,submitter_IBAN,submitter_BIC,receiver_IBAN,receiver_BIC,reference,amount,currency,transaction_date,transaction_time,is_suspicious
6ccf53c2-0a38-4aef-ad72-7c23cef7d13d,DE475972627280570925,DESVGBQF6LI,DE095543108109266119,MAWUGBHG5D7,Interview simply law door manager pull value.,1848.87,EUR,2020-12-31,04:54:37,False
2c124ae6-c7de-4c4e-8019-fe608ea65f75,DE747667159284355537,AIOSGB0V6ZC,DE710548865632093583,IBYDGB4NNF9,Several art century through radio church go station.,6998.62,EUR,2020-11-18,13:13:30,False
26b89ca9-fef1-41d1-8ebc-51b0b660b537,DE851766197690669097,BMWMGBIXFJW,DE154839647566645922,KHPVGBH6UCJ,Easy argue employee simply benefit official.,1998.87,USD,2021-12-03,07:31:16,False
29633ec5-7796-4bc2-9c3d-696e4c210071,DE443662369281703026,XXZQGB64IBY,DE878487842457599700,MUNXGBTQXVM,Change think camera effect.,5607.47,EUR,2020-09-26,12:35:18,False
f01f5f27-aa3d-4f03-869f-d7037f663287,DE984518561100187927,IOPAGB6F6PO,DE809691496898612019,SYWMGBK1MPZ,Range imagine age figure.,400.01,USD,2021-09-24,06:19:08,False
1bd7c9f6-9af3-4b29-b83d-d06bcf97d4fd,DE754550634725839343,FVTLGBT2H4E,DE581557135191354057,FQZRGBH9UWT,Rate begin food laugh you.,5668.42,USD,2020-01-02,12:26:09,False
80c3f9b3-6af9-4101-9d4a-d6c8e7804876,DE290998479292276771,GZEZGBEMCMM,DE737352358396277957,IESBGB3ZP50,Me mouth region key if next raise.,9063.32,USD,2023-02-18,12:32:01,False
a71bea81-e9c4-4300-9a4d-d7c678dd1d1c,DE810850804980302186,UMJGGBY1PVI,DE406406302253179276,XMRGGBE9KFX,Hot must west federal investment anyone first.,900.89,USD,2023-03-27,14:48:03,False
df945724-a990-44f0-9bc8-5b974eb32fb7,DE737072689713947968,XABNGBLT3UG,DE760911783144428789,EMKVGB6U6FI,Example threat moment prevent reduce great field.,9401.41,EUR,2023-05-23,20:32:23,False
1e0b19d9-08c9-44a1-ba69-86791d6b9568,DE621963415778242541,GPZYGB640KG,DE405713104379568660,SWYQGBC4ZO4,Speech second player pretty.,8037.32,EUR,2021-05-31,18:08:51,False
8c2111e8-3dbf-47c5-b648-fe14c31ed154,DE942047196176913603,ZRDPGB7L8F1,DE917725177225055106,GWYTGB7EMN8,Drug skin provide four executive heart country.,6183.37,EUR,2022-12-07,14:34:25,False
