transaction_id,submitter_IBAN,submitter_BIC,receiver_IBAN,receiver_BIC,reference,amount,currency,transaction_date,transaction_time,is_suspicious
6d7a1086-c064-4b19-af8f-5989f578b89f,DE657743611384153180,COSZGBNV2V3,DE718662435206351203,VAGMGBG1ZXR,Choose must word whatever happy.,6074.54,EUR,2021-09-18,01:10:07,False
843897a8-619e-4026-93f0-4e1864d45c33,DE553859597041313024,YMXXGBDPDTL,DE961712289830722715,STLMGB2FQWO,Under special threat peace western staff allow.,9217.6,USD,2023-08-24,23:56:08,False
93751b75-5669-4ccc-89b4-c760cb21a0a4,DE228265533766333437,AISLGBOH18E,DE612004359103955980,JIXIGBT264R,Option various bank assume.,664.2,USD,2020-09-30,06:08:53,False
1d42c34d-8329-46ce-b974-0810df325dd4,DE930887197434154919,QKTKGBLN8KS,DE166378822742821256,MFQIGBM4M3R,Third meeting ground.,9097.47,USD,2022-08-18,12:36:17,False
aaa7bb77-6e79-4df0-ac69-f030d443fc22,DE936647729415623388,CULFGBQ5DND,DE556051247534454120,PBGLGB3HOW0,Medical expert color teach account business.,2393.8,USD,2023-08-28,04:18:41,False
866e4f30-d346-4779-ac27-1ddb9ec6db9b,DE507311716567918325,WFUHGBS3VRI,DE206329015430425453,FNFAGBW09QN,Medical music key box set.,7586.9,USD,2020-08-03,20:40:10,False
023c6509-217d-407c-8a4b-9c855c4932f0,DE928942625030366544,MKUIGB3K014,DE431845182127717226,HQNGGBMUENC,Experience idea majority anyone run product.,4634.51,EUR,2021-08-21,05:05:57,False
3cef2aad-58be-47f0-9abb-4b8f41193f07,DE244474711850820947,YWMVGBMPN8X,DE234876959384163903,SUIKGBXMAJO,Opportunity prepare alone baby black.,3116.42,EUR,2022-11-17,08:59:36,False
cbfc9c67-a57a-4f5b-b2e6-fba916a133d1,DE460456469183280138,JCBEGBYAPWI,DE637466721946286061,EVCWGBH5QVZ,Space school run.,5684.13,EUR,2020-02-03,12:45:36,False
5cc7c6e1-ef35-412d-bd87-a56b65492ccf,DE831285946057983416,TYSTGB9I1TP,DE369659796647395031,IEAQGB4FTUY,Determine or boy admit.,5696.21,EUR,2023-06-11,23:11:25,False
3ea44e1f-cde0-458e-951c-5c0605026218,DE176653828581160132,TBROGB32234,DE854956207254521193,GCAOGBGCNHV,Interest week chair professional explain wish.,3003.22,EUR,2023-12-11,04:23:50,False
35336b67-d090-43f5-bae8-d02c19f22025,DE715440735911049646,HKAUGBQNEFD,DE832417493926722067,TOKWGBPTWGX,Guess series work like environment should shake need.,5018.1,EUR,2024-01-22,21:36:39,False
646cfda4-28b7-44fa-8a71-b56a0f45e026,DE625293554292826679,MBHZGBTMVPP,DE502432383726886408,NAESGBOENXH,Rate air should.,2518.05,USD,2020-06-12,06:04:39,False
cb751e8c-84f9-4ef0-a004-916f2bb9a05c,DE104408067754547075,WGAQGBFMO94,DE677046439509973496,ZUDXGB2TWPT,Day team student.,9069.77,USD,2022-02-08,17:46:00,False
4d9c3f9a-15f2-415f-a0fa-22a57ec4b48c,DE974001418872244452,LYTBGBRMLUC,DE988166763081081767,AYBOGBWCAQT,Skin this picture collection situation behind involve pass.,4143.12,EUR,2020-03-23,10:29:17,False
758f3415-d5ed-4096-b78a-48aaec0c6e1c,DE242304763926621045,IVNBGBFRQBM,DE499752459903543082,KOFNGBL603Y,Interview age night college behavior American.,7680.52,USD,2021-05-23,18:00:14,False
6aef4ac3-7c74-462a-9cdc-21c28df34c95,DE423796714467826455,DYJMGB9OHK6,DE627921667243249712,XXXMGBMSVEE,Say sister theory director describe part.,6878.86,USD,2021-02-26,05:29:52,False
a5b8404b-3ae1-472d-b4fe-ad5718d60b9f,DE867139994719879086,QKIZGB2H6L7,DE307149871861437090,QRJSGBOB4OD,Machine whose wide part yes door recognize.,2380.22,EUR,2022-07-14,01:21:17,False
