transaction_id,submitter_IBAN,submitter_BIC,receiver_IBAN,receiver_BIC,reference,amount,currency,transaction_date,transaction_time,is_suspicious
201357d1-9094-446a-b29d-428fcf34c75f,DE677953227307267807,CHQYGBL1BHB,DE951930181356495815,YZOAGBPDCEN,Building international but dog floor.,8053.82,USD,2021-10-14,09:34:02,False
23e604a0-61c2-40e4-aec8-ccfae3a8f8f6,DE928942625030366544,EQYWGBAN7KR,DE091229140983371998,YDGIGBSU5NC,Serve serve very kid crime interview new ready.,5375.21,USD,2022-05-06,03:33:30,False
034239f6-d840-46a2-8b09-b57b6847d428,DE385163474555511016,PONTGBLOK2X,DE713044261238320582,YGUFGBXEF7K,Amount box discussion town wrong cost time.,8174.76,EUR,2024-01-02,12:48:13,False
d8702471-3d1f-46ef-af02-1c1bae672f0d,DE820488150593099222,PZPLGBPO1DU,DE954853560240118032,BMVUGBUTDVM,Republican stop with west either.,6512.47,USD,2022-06-17,00:40:56,False
ce4e8d2c-cb0f-4d12-9adc-e8c6b2082bb2,DE355426873038488933,AAZOGBMG15G,DE125942226568824397,BYIJGB6IJCP,Level author meeting wait.,1972.1,USD,2021-11-14,15:59:06,False
3ca24622-c0b3-4ad2-84ea-006960c9a568,DE329472142310037910,UCQQGBMINX5,DE848302605673991971,OHQCGBBFCOK,Six hold road direction physical sure shake.,510.65,EUR,2023-08-29,18:10:22,False
0617375c-52aa-430e-ab31-166e507779e6,DE351332939839176529,XXJUGBHSX0O,DE529428524609528648,OKAQGB8O8MR,Throw hear network community response child.,4626.76,EUR,2021-09-03,08:53:10,False
0f98fa2c-4eab-4bb3-8e2e-da9015b3128a,DE868553314008974253,DEMKGBV576U,DE020571073753261228,WWFUGBSQR8G,Itself adult upon paper tend stand all candidate.,6653.78,EUR,2020-12-17,01:48:01,False
ffa006c9-c304-4bf7-9188-aa7420817c90,DE539567221094713129,EUJMGB35GS1,DE410097046396683825,FOJWGBP0BCI,Day hand simple election TV money boy.,5926.42,USD,2021-06-29,17:24:55,False
3a0ed0dd-084c-4a32-bef3-485a7ac52f7a,DE567051292667329912,LCTHGBHX8XZ,DE118261313108584920,LFURGBJJR1Y,Far senior actually opportunity.,7086.95,EUR,2022-06-08,15:49:06,False
937be75c-4c19-4ab8-83c0-4622e2cdd205,DE537135375597638080,CZSKGBZ2P4G,DE451639420207601539,SBMIGBK77G0,Investment red opportunity camera.,9830.87,USD,2022-06-17,02:39:16,False
5b923170-d649-4064-a81a-ebd773b275d3,DE830020028353942789,BISEGBMRVFD,DE607455831009558711,DFYTGBSHU6N,Glass their partner learn say indeed east.,9231.16,EUR,2023-01-15,11:45:52,False
5620d6e5-0598-4cf5-9c85-f967cf5d0872,DE055471291437755118,DBYRGB91YRP,DE783967239392699104,KYKUGB52SY9,Finish clear policy.,2753.88,EUR,2021-01-13,04:32:13,False
b0890f99-8911-496e-8a1b-f6abfaaa75cf,DE316995176010677904,EZYIGBE2YML,DE872672076934055456,IMJFGB6IRI4,Important sister yes your structure.,6121.2,USD,2023-10-09,12:10:32,False
aeb94c19-11de-477c-9ce8-1c25f95c2871,DE541203287834478839,DSLJGBKFVI5,DE651192066244458117,VWAMGBZ509F,Service black despite.,270.77,EUR,2021-12-30,16:04:38,False
1cabd8e6-97d8-4531-9466-4c3e181124ee,DE201898123943252495,ZZVLGBKNE36,DE839501257084234634,AEXNGB03KNB,My close decide oil heart mouth.,1700.96,EUR,2023-10-28,00:50:51,False
55dff31d-0f04-411a-9ad4-3b24e99e01b3,DE014729053620744037,HYKOGBM0MFV,DE643663452109725230,PFTEGB81INY,She worker share produce natural big else.,6361.37,EUR,2021-10-03,06:02:17,False
00edfb01-8256-444e-af63-fb2f7b7e8d3a,DE226169839391944272,MMMEGBF7LVT,DE289926996130466075,NLXAGBFPCVZ,Name themselves add maybe teach next want.,2677.18,EUR,2022-12-06,16:40:15,False
4463dcdb-414c-49cd-aabe-c086fd6102d6,DE982641458420399023,IVRFGB6DKA0,DE970292645229107727,REPTGBWT68U,Herself pull film.,5841.21,EUR,2023-04-10,09:16:23,False
82a447ac-586d-4967-b3b1-ecfa2c749168,DE529177824111312216,RTOYGB03YSC,DE969981365636180721,YTWSGB85KM1,Pass issue window push other win room.,1914.32,EUR,2020-05-14,23:51:45,False
f01bec8d-ce97-4acf-90ae-11fb752fdb26,DE677362552212180517,XADVGBE8V7Y,DE632134513289031138,SSXVGBGZ5Y8,Well daughter mouth choice player not view store.,5950.43,USD,2024-02-26,17:15:54,False
417da41d-5628-45b5-9c51-42da22211d68,DE315112551610772057,HNRXGB6ZTTA,DE869213495454558242,DPZFGBLPZAT,Choose nature a report until yard future.,4912.19,USD,2024-03-17,19:43:47,False
586eb0ea-60f8-4d38-9b94-2bea9fd80832,DE229976055623994065,PPDEGBYOZ66,DE031810934273580073,XTCUGB3FMRJ,Per kitchen office middle test art.,8340.36,EUR,2024-01-21,20:40:01,False
0b04ecb7-cd50-4f5c-9b4a-49aa7271b58f,DE633333371546492466,DAMAGBFX6W3,DE636436211224689368,IUEJGB7D0HR,War claim environment film.,3632.58,USD,2023-11-16,18:50:26,False
dcd3a0c7-c002-47dd-8b5a-ab35a1b0b60a,DE051698852242715223,DZVEGBV8VKW,DE651816664887096557,KEEGGB3U85E,Energy itself camera ask can travel step.,5232.64,USD,2023-01-11,04:49:46,False
9711e211-8178-43d8-b655-a12c5cff1316,DE737651489857199534,TZJQGB7HPHK,DE257077409592276647,LDTQGBDWLW9,Course form affect senior.,6295.49,USD,2023-12-26,21:26:33,False
f2bf8788-91a4-4ead-9c9d-b29b951befec,DE706908196630805367,ADRGGBOR9B4,DE436804757869995763,WVWVGBL4TQF,Work court middle paper.,7972.92,EUR,2023-10-08,22:59:31,False
f92180c4-bfb9-4334-8912-30fd898fe070,DE483224848641997700,CIFQGBUD4X6,DE666519106400107179,REFWGBGEMWA,Peace without believe hair agent out body body.,2809.02,EUR,2022-02-28,10:15:12,False
7186798f-c470-4719-bc40-9e182c9919c1,DE124443254526471566,QHEYGBUA8RE,DE253626591326649460,PBNGGBTJJQH,Officer student special only floor gun several hair.,7032.43,USD,2020-09-04,21:51:07,False
1c1d85e6-d199-4fba-a70c-5e112c2cd80c,DE231850619890830246,QWLWGB4HNJ1,DE727003005980836950,NBLFGBLS2W5,Mean store image wait themselves foreign data police.,3793.2,EUR,2022-07-09,03:55:15,False
cb6ffddb-e808-4017-8820-0ff0fa5f5a80,DE015177454276000201,OGXHGBU96CG,DE060828920641960208,TTSPGB75ES0,Chair art move maybe require.,2115.9,USD,2022-01-10,14:02:25,False
e3dbc58e-a41b-4162-b3ab-2abde75a7b78,DE734839952930516193,RKEXGBO0AUM,DE349823221826072398,FHKQGB3ULI1,Treat however American listen.,5453.34,USD,2020-01-23,07:05:32,False
