transaction_id,submitter_IBAN,submitter_BIC,receiver_IBAN,receiver_BIC,reference,amount,currency,transaction_date,transaction_time,is_suspicious
0e8d4711-fa0f-4d78-8dc4-646c668ec169,DE512460527890079225,TOVLGBR0IXZ,DE096141856475239721,VYZTGBD21IE,Young teach ground compare.,3056.07,USD,2020-06-04,15:21:12,False
75ea3fa9-e8d1-4c32-bee1-c94295034131,DE650459438904963466,EYKHGBL3BGK,DE128829072291545299,KNSHGB3R0RC,Provide around marriage truth.,2897.26,EUR,2020-09-25,09:52:06,False
5b36a681-6225-46e2-b849-feee9f28719d,DE690219155742978688,CLHOGBHG68Z,DE843445570615782994,LJMXGBXLL0A,Rather meeting north begin others seven factor old.,4422.78,USD,2020-01-06,17:22:34,False
8317d8a5-dbba-4072-96b2-ac583f928128,DE499964211445146816,IVUNGBF80VJ,DE905757656651642011,ARKGGB3OLS9,Until worry bar peace.,138.15,USD,2022-04-22,19:44:04,False
3f3d4b4a-a328-402c-9921-d25604d55ccf,DE066340831868930441,ZUZBGBDURYS,DE395745649904199188,NVFSGB5AOFZ,Cold hit nice also people name magazine.,592.93,USD,2022-04-26,20:43:19,False
d4b569ca-9174-472f-b3ab-258ed335e233,DE757949019226541399,VITPGBOBKD1,DE273440681769875159,OSBHGB4NLZ9,Education explain father art.,945.11,USD,2022-06-17,02:03:50,False
bf03b0d0-ea48-4d66-805e-2423ad3a9d6e,DE651955463223541447,KXUWGBWJJX7,DE202100666256787942,WQQYGBGM3WO,Doctor way suffer buy tonight apply husband person.,4471.45,EUR,2023-04-29,22:36:54,False
727ee4ba-00de-41e9-9b08-e1807174d21d,DE371596575593640031,JUSRGB1V30H,DE272135201265127641,IEJNGBHR417,Peace ready color near real wife put.,9211.81,USD,2021-12-09,03:06:02,False
fc79266c-3210-455e-a250-f8ae8760bf24,DE140279048752704853,XQLFGBV7CYK,DE309861505032113743,PBNOGBNV87R,Black money blood among purpose.,4170.93,USD,2023-04-05,07:15:09,False
2335fc4b-9a18-4a59-9b8c-2ff2ed1d8c5f,DE785045193209443532,LVRIGB8HTHJ,DE397195605406094251,IWFHGBKG57Z,Charge significant accept teach administration.,9420.54,USD,2022-04-09,23:24:28,False
f9f851d2-0c11-4ab7-9508-fcc689eba51b,DE045287239931274769,RHBSGBNYWQR,DE248836743287547474,ZECBGBPZBQ2,Raise candidate their.,8668.14,EUR,2023-06-28,22:28:41,False
f545ad33-4bbf-4a67-9a40-a31ab60a61d3,DE338202483328451631,SGYQGBCEF05,DE495581039317207104,NAWKGBS0S5B,Simple soon it board bank political.,4114.77,EUR,2022-12-09,19:26:50,False
ad916df0-2541-47e7-8132-f3229818b938,DE732953215876715827,XZRRGB8G3JR,DE415150255378862798,UQJZGBJAL1R,News public lose board available.,6401.01,USD,2021-04-17,17:48:30,False
43dca945-affb-44b3-8765-564c13eb572c,DE604508775367928258,IPRNGBRRNUL,DE651779578701352581,VZREGBH4ESH,Pull any young idea bill.,1835.75,USD,2022-12-13,22:14:16,False
0c323550-73a2-47a7-a4db-8b81d7653dbe,DE356059588641951794,FTJSGBLTNPR,DE076531073831675614,QVPFGBDLTF9,Red agency important minute also none.,22.05,EUR,2021-01-23,16:50:53,False
413826fa-859a-4bba-b6ba-8270054c01b8,DE754667183471778017,CCHNGBECY4V,DE597129319658381186,QZOPGBKSFOH,Firm away whole course Mrs recent collection.,5997.26,USD,2020-12-02,00:52:29,False
74e1eadd-dbfd-4eec-b60b-69b3031035c8,DE251690652730618813,SIKZGB5JIF0,DE782750606492689172,EOCLGBH3DBE,Our plant range way.,928.96,EUR,2023-04-29,05:45:19,False
e1f35403-785c-46c2-9f3f-1c901a24d00a,DE472759384228671254,XPBCGBR73N2,DE060140672581216047,EWRYGBCVXMU,Vote particularly live tonight gun will prepare.,4768.65,EUR,2021-04-06,02:51:03,False
37725b34-95fc-4e43-b461-407d1de47ffc,DE196440461016534427,CEIZGBT0UAY,DE493000145218974881,SYVLGBRK9EG,Money population one already place that.,1875.14,EUR,2024-05-13,09:58:36,False
b7a62513-1029-4bfb-99d9-2d30d3ad7f8c,DE633508217320299123,KBDIGBXY4OO,DE693710773236736557,ZHAQGBWMBDC,Couple learn look little next.,7292.61,EUR,2021-04-21,19:44:54,False
3dcc04fa-c1c2-463c-88cd-2aa8b61bee66,DE979208585158426213,DSMTGB5UTPS,DE875916829567697065,BJDSGB1YF1D,Letter expert catch management skill art blue.,6065.41,USD,2023-11-15,07:16:30,False
0b297159-29dc-454c-95aa-53a3dcd7d58e,DE473650907223347771,ARUPGBXUUGN,DE156580447024244389,AYBLGB56KV3,May report rich road peace north.,4580.24,USD,2021-02-14,00:56:28,False
398a9712-821a-4eee-a8ae-8f363f1c4c41,DE650464895895027596,CDGEGBC79MF,DE089931227262842969,VVUEGBP4IGY,College daughter fish feel organization.,2324.39,EUR,2020-11-26,01:44:57,False
ca9b51cf-5730-48a0-8a0c-94183735c99e,DE049781830358579156,ZMXEGBI9ZEY,DE150799611099945989,VINVGBJM42J,His position individual allow collection.,5021.85,EUR,2020-02-14,07:32:42,False
da8ccd55-e9e0-4c95-8144-9c503cb2ed58,DE464375101376741967,XMVDGB5DC94,DE928605028562520877,YPUTGBJML4L,Real arm home process.,7505.48,EUR,2023-03-26,04:22:38,False
6a61eb07-e022-4209-b36a-c2f04d8d3bc2,DE332104287839534998,NTRNGBWEOMW,DE534478897586478591,IQLXGBC0GPN,International kind save mean fly.,8494.96,USD,2023-08-27,21:09:44,False
9487151b-02df-406e-871f-e4eb88b76d1b,DE525820854521136848,QUDJGBJQ77O,DE858469726934472333,DQVZGBHTZPZ,Discussion watch civil newspaper.,2083.83,USD,2020-03-22,12:34:41,False
5068545b-396b-4000-a1ea-964cdc9de1ce,DE122644483698012071,JCYSGBELNG5,DE906222848919301319,VFRZGBNDKXU,Seven yard summer the city early certainly.,718.18,USD,2022-07-20,07:52:02,False
546249ad-a2c6-44fc-b10b-3d3eb8c6cfab,DE850144160736277446,KHZBGBG2PJC,DE586853722781732023,TIHAGB2L7JJ,Face because maybe.,2165.51,EUR,2020-08-09,21:43:50,False
da0d6f21-b3d1-4e4e-861a-41a890823317,DE137122389781692509,TJTMGBR7AAA,DE155558126926687719,IWBSGBTGWRU,Appear central similar address even.,8046.68,EUR,2020-11-25,01:34:33,False
a6a2d946-c723-4569-89c0-054820c0a719,DE062313975360431807,CSVCGBNVDEC,DE170064997111796672,VICAGBTK0NG,Year trial argue why control.,5565.52,USD,2021-08-13,14:49:53,False
1dace908-acf9-4c77-a17a-07849d6cb708,DE116045019788694662,SCOOGB1IJAA,DE321075362791425292,HROVGBYLYAS,Owner pattern follow.,9812.51,EUR,2021-11-11,16:09:46,False
1a07bc33-c56e-4b6a-9e10-852aeb5fb22d,DE558877677682658714,OJLZGBGR4I9,DE962637105832217829,GDKKGB1QARI,Provide change film us.,602.81,USD,2022-02-14,00:49:44,False
db1c1612-2558-4876-81e1-5841161e94b2,DE841215197994518277,QMNUGBB4SRW,DE347338625630076527,AJFMGBODUKB,Personal idea middle wonder glass provide must song.,8448.04,EUR,2021-12-14,15:23:55,False
b941ec96-5d04-4f39-94ee-e2ce58f57827,DE996493143666392507,NWRKGB1XHVP,DE486998966054058649,HTAUGB2GPC0,Machine prove real on.,1956.42,EUR,2020-08-14,12:27:35,False
d3730cac-ff2c-4771-bd32-a363fade93c9,DE443662369281703026,NQIVGBPOK0X,DE803921580551685342,MNMZGBSXBJV,Information specific voice trial.,4521.1,USD,2021-11-12,07:14:27,False
7239f08c-af19-4012-b9b5-24c3ea2bb9d4,DE415146615921672411,ESVYGBP01YY,DE488123287479379963,ODAKGBJ9VKB,Store road trade first turn new.,9503.47,EUR,2020-05-05,23:46:58,False
ceaa124f-27d8-4113-a915-233dd8c14613,DE723861796309602480,CFKVGBT4O45,DE419706371940095559,UBHZGB71O3O,Bank who seat network best run who.,697.62,USD,2022-07-06,02:26:07,False
45d1847e-047a-4bf9-8306-952cfeab52c5,DE674831560987124589,SSWQGBF84K3,DE075090591392043545,RKBSGBRPDQN,Executive station clearly suffer surface.,6471.21,EUR,2023-08-13,22:24:01,False
366c9951-5b26-409c-8384-f1be2e5eb339,DE197113527374471006,CJUAGBR6X8D,DE807598208710412861,BYJPGBEHPOU,Mouth religious fear north.,614.22,USD,2020-10-09,09:37:14,False
f0077eea-3e82-4fed-b979-12fd9e03037f,DE759035362927488952,GJTVGBE7CGW,DE480449088977379724,PSDXGBDUTC1,As exactly realize wall suddenly article.,1073.58,EUR,2024-03-05,07:35:03,False
62d011a4-07bb-4567-93a2-6e5bc30a0791,DE983344891710961837,TVBQGBBYOJU,DE574492506194960800,DFXLGB35Q92,Who sit color hard wall.,6003.02,USD,2020-11-22,11:43:19,False
c283e479-a38b-4b02-be8d-d7e041b4a7f5,DE056897047783065985,TFTTGBZIOCD,DE719919806955177554,DSEQGBMA7V5,Turn level suddenly film from.,8604.04,USD,2020-03-23,16:45:31,False
dce6430e-8a22-4561-9d6c-76f4efe063de,DE880537135045200821,OMPFGBO2LDO,DE296468230477739135,LCTJGBGVGNW,Conference recognize source daughter food recognize.,544.62,USD,2021-03-03,19:12:53,False
cf56fe37-bcfd-4dcf-960b-1e966a631e36,DE974107006549418366,SVUNGBQXKHK,DE457427612393777154,SMNRGB43W8E,But story law.,5718.13,EUR,2023-08-18,19:20:12,False
8b3264a0-f0ad-441c-b741-6c246106734a,DE487569854094672062,HRYAGBHR8GT,DE340082213606648366,DFMWGBKF2RQ,Group practice argue why future build.,1216.66,USD,2023-05-08,14:42:06,False
5fe05350-348d-4cb3-af1a-0b48229ac297,DE100477309486452237,NHWLGBPRLZI,DE777028389649037507,IOUQGBC66DO,Whom sport such generation so recognize.,6282.82,EUR,2023-08-31,10:01:56,False
51b1e241-5a67-4f88-94e6-759f098fe1a9,DE593695277524739307,XZLNGBXY1QF,DE865163699394190750,BFWQGBP078T,Design civil address.,2817.3,EUR,2022-01-14,15:23:10,False
0a0afc56-cbb6-4da3-ac61-e2a7976c646a,DE466795427228831254,JUVIGBSKLET,DE136453158883619143,ZWGHGBUU4B8,Mother usually nothing care strong claim hot.,8949.87,USD,2020-10-07,08:46:05,False
9f49aa75-9e86-4495-9860-714c51887a52,DE469683553483936986,QZZWGBG6GS2,DE497846831679284143,EAHVGBK1SNC,Real phone oil need magazine window according.,721.56,USD,2020-04-16,16:57:41,False
6c9aaf2d-95c6-4ccb-818d-3e205a2df249,DE070565243214827002,PZPNGBOHTP8,DE359302960132623705,IPSFGB9I8MP,Score test tough able.,9384.94,EUR,2022-01-15,13:47:21,False
ce2ed095-43e5-4e6c-b959-f0b35d78fcf3,DE715208131324845243,BMSOGBA7KE3,DE207287024359478814,UMTXGB798HN,Nature heart middle.,9402.59,USD,2022-01-18,06:02:10,False
ca7a6a65-7099-4270-a9f3-f8c8e451d035,DE709418130755880678,KNAZGB0VI00,DE438907822769955478,JLDUGB142RV,Particularly visit piece natural ball memory according.,3289.97,USD,2020-05-29,01:25:21,False
b04c37d8-878e-4e13-8567-d8a5243259f2,DE333467947063297506,QSREGBEU71M,DE717397606266100803,UOZLGBL0ZN7,View use he senior situation by.,1887.6,EUR,2022-05-27,02:01:11,False
88a554a6-ee3a-4dbf-92af-9425d61f2822,DE281239967493823471,BGGTGBJC8EI,DE434797557233756118,GUNQGBRAVVT,Hundred he involve information manager kitchen.,8058.14,USD,2023-03-03,15:12:43,False
6eab57f2-c5f9-4925-b457-a88f602fad82,DE430073484925172792,KTHPGBA85LU,DE753871426002301771,CJRZGBRZJ6D,Environmental ability plan not.,6954.45,EUR,2020-02-21,20:54:33,False
b32963e7-dcde-4a05-b242-718668cbb997,DE239143863047185082,IRXIGBZJYNM,DE078103153008986513,YOFOGBS9W1X,Citizen again listen law then condition.,7228.55,USD,2022-01-08,09:01:15,False
95ce6ebe-b7a8-4cc3-b8c3-1d7f76c957ba,DE596447019391046475,QYDYGBHFM8W,DE127863231545882613,VAWAGBM3XSY,Right approach claim system bar.,1790.42,EUR,2023-07-29,12:35:06,False
1ea2fe36-6150-4697-9376-511faf840ebc,DE584566768918448143,USSCGBZ8TJD,DE876841035221659857,OGJBGBTOGW6,Indeed to up rule any officer million goal.,5125.85,EUR,2022-02-14,03:02:15,False
e73fb02c-a1bb-4b21-b331-388f51b6a3f1,DE901563287248560742,GBIDGBG2BQK,DE736434019234273652,ELCDGBD1BVA,Imagine truth type collection.,5495.23,USD,2022-12-17,07:42:46,False
4556e578-d33d-4673-a603-b87360484466,DE790679487704126088,IFBJGBNB3I6,DE386193755338655322,OOPGGBH9VRV,Physical look trade left full.,808.56,USD,2020-12-26,12:53:29,False
0fa50a81-998a-4c5b-853b-824faaa7ec73,DE990636528768254134,YDNZGB886RH,DE585319898917581678,HAYNGBCNB5V,Buy green chair store.,6747.26,USD,2023-10-27,21:44:35,False
855ee614-eef6-4407-9ea3-9c23e521a186,DE373405422248050118,CVYTGBS62GU,DE419542827651682669,OGPZGBA5LAU,In room race question contain Mrs.,8101.9,USD,2020-12-11,02:53:20,False
d45e1da5-4222-4995-afab-d57b3efd7c81,DE813294644489167382,YFASGBJF4LZ,DE066340031168447601,UYKPGBSIYRC,Whom nation watch agent drug group great.,57.2,USD,2022-02-16,19:17:13,False
d499023a-208e-4ff0-acba-1e4d9fd5a6c7,DE653375477242323867,DUXNGBRGRSE,DE578203308841497766,JYGIGB8FQ6M,Simply should very degree economy.,6970.03,EUR,2020-03-18,07:35:23,False
d611b4ac-7e1c-47ba-87c4-336f8fca37ab,DE514441482278494622,EWRHGBZASSW,DE893269993585715218,YSURGBVWW1Y,Approach lose make common.,5342.9,EUR,2023-05-21,14:40:12,False
ebbd03e4-7f3c-4f1f-88a3-cdf70d12c2b9,DE541271584348485288,BIMTGB5EOHP,DE551191172723811922,PNFFGBCVL8T,Thus their then decide animal safe.,6007.78,EUR,2022-06-01,16:28:14,False
956be0c5-7621-4b44-9708-51f1bffc883b,DE611926244045743865,YEXNGBOYLSU,DE743354999865294540,ZEVQGBYU3LM,Rule less so building.,684.19,EUR,2023-04-21,01:44:34,False
917b5cce-2783-46d0-9ad1-3fc446f0c688,DE361817623778086908,FLXWGB65B0C,DE147980540565734096,TKSFGB6MI2S,Trip quality form information eight.,1255.3,USD,2023-03-11,05:49:55,False
224a6a9b-1fbe-4499-9ad6-adc22327f298,DE824844378354557571,VDFYGB83LKF,DE581557135191354057,DIDYGBDO1K4,Huge north bank network movement interesting the medical.,5681.08,USD,2024-01-20,19:58:18,False
69b2fe0d-bedf-4788-9b19-318a6c0f6dfd,DE840720820043761753,UJOEGBY0GZT,DE435890152267490574,QGQCGBGSIDN,Important hold subject game play.,9800.89,USD,2021-12-13,07:38:51,False
ceb395ec-7684-46af-82d9-c7f9e2cb0a14,DE351243995584034033,LMUNGBWKWDS,DE253228528252807555,GEGGGBXMBUA,History significant notice room student.,3417.55,USD,2023-12-25,00:47:16,False
3bf88012-67c2-4186-aa34-6e153d546e98,DE787730635023664672,JYFSGB34O8I,DE550114100586998846,HMEMGBODS9E,Early to mother ball close.,7859.44,EUR,2021-12-08,19:34:19,False
5dc5a797-ce02-40d9-a36f-67a46d94163e,DE957622690359699315,UZNZGBBCSS5,DE975960469860779366,VQNWGBFFCEW,Cold teach for visit cost.,7303.66,EUR,2020-03-08,05:17:38,False
a5d99f14-816c-44fe-9511-6e5715b04c61,DE422580603493072043,HJWPGBNT8IQ,DE292291975702754995,YSOIGB4YKV7,Long question mean must expert talk.,3508.66,EUR,2023-04-22,05:26:48,False
c6664aa0-c817-40e7-8ed1-33bdabbff007,DE394474349705592043,DRMPGBGWER7,DE082381795290808681,FWBXGBD1OWU,Nor care evening.,9391.78,EUR,2022-11-08,08:14:37,False
5caf3a5d-0abb-41e7-b00c-9a1911f546bf,DE177255492008423171,DAIXGBLBCBO,DE789687809211977930,HBEZGBOWJH6,With for pressure culture.,8193.7,USD,2020-04-25,08:24:40,False
d35d84f9-e037-465d-8eb8-970a1a73e576,DE918525667727631258,ALPHGBF1CN9,DE816493220368668231,ZBEDGB85S8W,Agent general then age past southern color.,286.24,EUR,2022-11-17,05:14:26,False
02ecc150-562f-419d-afd7-eddd7edcfcd5,DE243024087983346467,BDSMGBM1NQ2,DE848508427500452289,ZGFCGBBZESB,Enter difference instead.,9007.6,USD,2024-04-26,19:04:20,False
