transaction_id,submitter_IBAN,submitter_BIC,receiver_IBAN,receiver_BIC,reference,amount,currency,transaction_date,transaction_time,is_suspicious
49414598-575f-476f-ab75-c913bdcc8c6d,DE247161091986637016,FVTUGB6YXLM,DE957884361414203970,RSATGBUDJ24,Together political former.,4265.37,EUR,2021-04-28,11:11:39,False
ef243dcb-294d-4c21-be9a-160a10a162d8,DE890575191049603345,IVVAGBR7JJ8,DE831714721194629929,IKPPGB29CAX,Nation those low these quickly perhaps whether.,7103.23,USD,2023-09-30,17:51:34,False
ecefa748-8510-415a-b7e2-2d54acde5ed3,DE386437898657581336,SZEEGBGM91M,DE500138107200854206,CDSSGBF7G01,Citizen too manage report as skin there.,6700.32,USD,2023-06-18,20:10:06,False
3cd8d237-eb84-4b18-91d6-d51041b5b8c8,DE311955016223976960,NVDPGB89TQD,DE546535935520599033,JMDHGBKWDZF,Challenge note seek article.,2283.5,EUR,2021-10-08,06:11:19,False
5dff5d21-42b3-4264-b4b7-62e585dbd9fb,DE777417415196698540,DCWDGBBW317,DE263407894125981898,CDOOGB96UUM,Even campaign charge discuss.,4406.21,USD,2024-05-20,07:30:57,False
cc4d4533-d63c-4611-90af-4aae12985e70,DE367074992548946783,IRELGBJUVHZ,DE036959265091924188,VTARGB89411,Door wall someone southern.,6903.34,EUR,2020-09-02,02:11:05,False
f2076e77-5180-4783-8ca4-c52799df7cf7,DE037551441776771806,UXRIGBQH3KR,DE160961824963828775,OBTZGBZ03IF,My happen exist information what stand that.,9888.43,EUR,2022-07-13,07:48:03,False
8a0756ec-4988-4d25-a00c-5526fc175aee,DE858467583905956028,CXDXGBN7MEI,DE214175904107792752,TLAIGB1SXEV,Heart art collection huge.,5483.5,EUR,2020-09-16,11:23:35,False
c474bcc5-2679-4d60-90c7-af96813712f6,DE587019888088574804,JNZIGB4HIS8,DE244797910915332946,KXTDGBSU5CN,Compare claim garden board parent suddenly easy.,2311.02,USD,2024-04-26,16:02:50,False
98fba68d-b561-4c23-b2fa-1dfec22e9900,DE304576256062422318,SZZEGBPXAHR,DE336639474142670407,ABYFGBIHYJN,Wrong better service hair moment since.,6713.26,USD,2022-11-26,22:47:35,False
8ef0a668-278a-4307-83d8-6a8079a47f47,DE947988919686277473,FDKWGB2B4EA,DE750843097184232113,VGPTGBA5DQL,Case teacher government term trouble situation others.,6362.86,USD,2020-04-30,10:45:12,False
14607187-2889-47a3-b5af-bd56fc888cac,DE735814654316547483,QKNTGBLL8N7,DE221157858590527115,BOQYGBJV9G4,Need when some serve involve adult entire.,6745.37,USD,2022-05-23,02:44:59,False
8d979d2b-2aa2-4d97-a38f-e245ad3cd749,DE168397551222658557,LVBNGBHO3PJ,DE060826052637619222,IOLVGBFMRE7,Along understand skill she continue of among.,1277.38,EUR,2023-03-20,11:25:10,False
d756a7f9-f28d-47ab-beef-3b8d736d4e83,DE864268755659145683,CAVTGBU3J6P,DE279551146074699261,KBLAGBQR69M,Opportunity pass service current side level.,1457.45,EUR,2022-03-30,09:33:28,False
98d44528-a053-4234-9e7b-eae1b2c61a96,DE866625625235399179,HSDWGB1OZJL,DE460182588095210251,WWSGGBNH33G,Visit guy human job stage.,6093.48,EUR,2020-09-13,00:41:11,False
4c0c74d2-4932-467e-b961-6e591ad19bd0,DE494743691568939852,RWKEGB75360,DE004119589587380368,ELMXGB53F1Y,Pm fall strategy most red room.,9434.67,USD,2021-08-08,12:09:50,False
c527f4ab-9982-42dc-8dd0-1a17edd627c5,DE837607903250113266,QJFYGB3JDD0,DE883109344712078597,AUETGBI0RFW,Memory vote government factor mind.,6764.57,EUR,2020-03-07,18:30:48,False
774de8d2-f713-4b33-9e8b-4c43c3d60f4d,DE140591462072984071,KJELGB44D21,DE166632568881380498,PALWGB9X5W1,All lose quickly score senior apply clear.,4031.14,EUR,2023-11-15,14:53:13,False
925f802a-7c7a-4bd6-a081-2456910202cb,DE361069231374793727,QUMVGBL0YHM,DE990719479452217249,CAPVGB9SO0Q,Discover full list realize represent research.,7519.09,EUR,2022-02-11,21:31:28,False
f7e18992-a9f7-467d-a232-75be2579bbda,DE902939281851132896,QGREGBRJ6FV,DE649420260566508089,PJMQGBSSCXM,Relate reality whose daughter record person blood.,6002.98,EUR,2023-11-24,20:48:40,False
37eab7ee-6845-4215-a44c-3403ef6f207e,DE840964409952252703,RNLQGBT8FQ7,DE308320169888000020,SWLUGBG65E0,Laugh evening garden house lawyer whole.,8915.01,USD,2022-03-18,00:49:48,False
4d434493-11de-4d1d-a5b8-b3801554615d,DE241112103898696446,WOMDGB2BBMZ,DE454177096637787650,ECUHGBOL1UE,Writer thousand southern power mean end pattern.,7983.74,USD,2024-03-25,23:35:55,False
682ba5fa-db19-4e8a-bb12-2e713b8a63bd,DE691683337611353333,SJTCGBHYVFG,DE675378775947802006,XQWAGBWL3CS,Stage office energy.,6368.66,EUR,2023-10-04,09:59:22,False
b253b828-d011-4025-b042-3dd0d117f767,DE268730358471370078,BMZTGBZ0SKI,DE874994829260989775,QJFVGB5H07Z,Step day talk north discussion.,8532.91,EUR,2024-02-24,11:31:29,False
