transaction_id,submitter_IBAN,submitter_BIC,receiver_IBAN,receiver_BIC,reference,amount,currency,transaction_date,transaction_time,is_suspicious
e233fe7e-dbb1-4bb2-b24e-415602ddeb09,DE687169825391023775,YMXIGBBM8SZ,DE251991293857364265,YWQKGBX2HRF,Life though hold usually region style.,9203.45,EUR,2022-09-22,03:03:41,False
d3032151-c56b-40f4-991a-8509dfe5ef0c,DE154721065616237999,OMPMGBHV5IS,DE356704356871954739,ZRNGGB0BBNW,Relate staff our account.,4082.06,EUR,2023-01-16,09:46:48,False
e6dc93d6-dfe7-49bd-8583-8dad1aad9cc3,DE293536904226062402,LXNDGBUFCI0,DE218883944165348929,VJCQGBXVP9B,Near yet second office food raise.,5544.44,USD,2022-09-18,04:25:52,False
ca6e7506-2f60-4e19-b503-5f6eac761537,DE070902253515578332,NOFJGBDR74D,DE018718324527960064,VRKVGB7RU74,Among concern point cause similar growth speak.,7050.35,USD,2021-05-06,15:05:07,False
12f03d2c-b552-42ae-a5c0-50748c712c9e,DE966502676380855777,SSZNGB4576R,DE645748805410341805,KDVTGB1915R,Project now again.,338.18,USD,2020-06-28,08:20:45,False
f1a64eb3-bed2-4d7d-8612-0a2e598098df,DE753801342581974341,QWEIGBIGGYD,DE215351297605729041,YLWTGB9J5HM,Either term husband art.,8206.43,EUR,2022-10-16,16:00:59,False
8895aa7c-e632-4da7-8468-ee4b83633b3e,DE492888667092779821,HLQKGBGR1QW,DE987219327801337742,OFDZGB24FN3,Front full movement debate during spring.,278.3,EUR,2024-01-02,08:24:28,False
b64630fc-1d56-4e82-b2f5-703bbb9b8807,DE511043349280484481,IHFWGBSHBMG,DE436335924789757555,NYMTGBCM5MG,Art third recognize rock media upon.,8058.54,EUR,2024-02-25,03:28:31,False
8033e99f-8a6f-4378-944e-6caf50b1211c,DE801179137608095179,XKMMGBFQT4G,DE577184698799530075,DAAHGBP9YEW,Share word probably board.,8550.36,USD,2021-12-04,19:28:14,False
1280f97e-8e2c-4c1e-9fcd-6a156234e38f,DE479302955510368474,EWEIGB9PEZV,DE672633031124959440,SGYSGBW0QEN,Grow heavy region report soldier camera candidate see.,3089.5,USD,2022-10-26,16:13:22,False
ab9fbe34-bf29-4e87-9204-c454b95c7625,DE533184099143031513,VRZKGBE9W5I,DE917541864356228877,PHKZGBIR5DJ,Foot yourself rate radio than wall.,6336.96,USD,2021-06-04,13:43:05,False
7ed40a78-826a-4ada-918a-faecdf8ddd47,DE870413295889020691,LTCTGBOALLJ,DE203196984600764730,XYLFGBFL028,Similar why he in anyone hope knowledge.,1829.85,EUR,2022-02-10,06:41:29,False
f2ecb3f4-0eb2-46a7-9445-feb9824f49f8,DE079676884545723247,KHNSGBNUXVD,DE302667070403496895,DLRKGBXJNNC,Which stage soldier executive concern.,2911.66,EUR,2022-04-21,01:33:16,False
6dbf9e0e-72b1-44ad-8ca5-6fe2a16f15d4,DE747082681067857465,JGCUGBOAJWG,DE447402117153288207,JWAKGB5QEKO,Next share score everybody decade draw.,5045.52,EUR,2020-01-04,21:02:24,False
e8176eff-f76b-4fd9-88db-99492a3ce652,DE601254925239726949,ZTMNGBEPGTZ,DE382487866792000480,GRJHGBIXUAV,Already truth green director trial.,5937.28,EUR,2023-07-28,04:47:39,False
478951a5-d92f-49cb-8304-8cece7790022,DE118996898058700208,AGOQGBFI18F,DE091563094182089224,YJKVGB3EPRE,Little success friend our between.,9761.5,USD,2022-03-30,20:33:05,False
