transaction_id,submitter_IBAN,submitter_BIC,receiver_IBAN,receiver_BIC,reference,amount,currency,transaction_date,transaction_time,is_suspicious
90dea147-79e3-4a67-9bf3-1944608d81a0,DE404941965600222486,ZTAIGBKVXI6,DE506708118581230154,KXXNGBH6RTM,And risk day tree base require.,7486.74,USD,2021-02-13,05:47:45,False
cb5f7d71-6b8e-42ab-ae6b-861b5dfe4d07,DE718948767814130459,WLIXGBV8B8O,DE330312001259127812,JVQWGBHD9JV,Although service fall industry.,6804.63,EUR,2023-04-08,09:34:11,False
63f01c76-361e-4431-b108-064e112b074c,DE498423277559179090,MCLTGBEDLOA,DE175948653947287119,PHKIGB24O5B,Miss stock music relate.,2131.1,EUR,2023-06-04,11:19:34,False
1e7b30f8-2c47-47b6-810e-24ca3db4c0e8,DE014875320508861652,RSGOGBRMZ8J,DE173311899427660004,NEHPGBIVJPF,Lawyer it official teacher nor Mr economic.,3736.91,EUR,2023-10-08,23:15:50,False
ecc586c7-87a8-406c-a4e2-d8cf36d913ef,DE850007564395423320,YETHGBHV43S,DE852475950503294846,GUEYGBO6CQM,Give will value truth chair.,8980.66,USD,2021-05-07,08:18:36,False
8479e1b2-9b82-4114-95f8-3f7f271418e5,DE245459065643370492,DEPFGB8XYIK,DE807711436942028260,AEURGB21G6Y,Enough collection parent.,4657.37,EUR,2024-03-17,17:30:25,False
825a74b7-8120-4a24-a8a1-46b7b123b6cd,DE625443079815732080,KRZXGBSBN6K,DE562900534504411112,NAYNGBAF19M,Former development last officer want half car through.,1086.45,USD,2021-08-19,03:37:28,False
58570804-25d0-426d-97f0-d8b551a8898f,DE108579073351494629,QUNTGBF530M,DE671300519697105292,PVLSGBC74OK,Should phone subject west agency.,7786.88,USD,2022-04-16,11:41:43,False
f4e4b6d9-c8c3-4237-9b93-906a0bd1caf4,DE450377275955658850,WWFWGBLEBQV,DE310371520213762957,ZGQAGB1KHGW,American leader direction drug start raise.,9718.63,USD,2023-10-28,01:43:12,False
64f91a32-4185-426b-8c99-4cba0a6e687e,DE213395372729215482,JZSBGBK2U0E,DE462464931678193585,SOCYGBUHLPU,Summer quickly PM evening.,894.84,USD,2021-07-26,22:43:20,False
1dc08059-121e-458a-a126-0f2ce3055395,DE554855321652585343,KSQVGBF9PF4,DE669984740261375805,QFKYGBBCK9S,Hair Mr history property style.,5619.37,USD,2023-11-16,18:32:25,False
bdbee32b-5b47-474a-a70c-f7fa33bb6d64,DE877393489376218417,ULPMGBV3ASR,DE706094209519965025,EVYZGB4C215,Success a listen table.,5832.0,EUR,2020-05-11,12:18:07,False
f8969716-496f-46a4-98ad-fa0530c768d2,DE044025937513297257,KEAOGBS9JI3,DE513557766108609646,SMEXGBCU1TA,Of him huge challenge conference.,644.67,EUR,2021-06-29,10:46:02,False
a0d6fd59-d444-47aa-a576-e7ab68a34b2f,DE776770807705601222,NGPAGBCD1I9,DE063566157508652618,PASFGBGBYTZ,Short model nothing imagine.,5966.04,EUR,2020-12-14,18:34:58,False
9bb9d126-2ae8-4588-bcdd-1f02cb5078db,DE179993687694909174,GIQVGBDQBEX,DE738344697683637955,SFKZGBWRFLV,Summer meet evening those movement.,3411.92,EUR,2022-05-29,09:53:15,False
e6a7f09d-43bb-4757-a00b-211068da45f6,DE471185448547668049,JBXQGB3QIRU,DE537483242675991565,UXHEGBJLWYJ,Rise finish upon political now hospital every.,9534.24,USD,2023-09-28,06:44:36,False
9021c32a-77d2-4ea5-8acd-2a7c8a059509,DE418464160223887459,MGSNGBBKCOW,DE874294149513088463,RFQVGBY4T6O,Clear husband discover.,8026.16,EUR,2020-11-10,06:37:06,False
43d395ed-09c2-4c1e-a8d1-042b13c2834c,DE376933791588023168,SMXRGB7REUX,DE870990447323635816,PHPNGBGKIU1,Which morning build play skin toward government.,5694.14,EUR,2023-07-04,22:15:54,False
e165e8b0-e804-41ab-9dfb-2f8a3a52be65,DE413060122254929679,SEZJGB2C1TM,DE036957006434455799,KEUVGBIZCGI,Which amount exist read off.,8601.98,EUR,2021-11-11,09:00:05,False
