transaction_id,submitter_IBAN,submitter_BIC,receiver_IBAN,receiver_BIC,reference,amount,currency,transaction_date,transaction_time,is_suspicious
053ed2f6-7810-41de-b389-4ad657828f92,DE698525730470785275,NOWKGBWLZKN,DE481586210977950764,KBWPGBACHZH,Over inside face system keep.,627.73,EUR,2021-11-02,22:27:00,False
be57df3c-6571-4f5d-a85c-2882cf0774b9,DE786546144425976575,VDFEGBYWWSW,DE390915119344019336,GNMBGB63Y8M,From may page respond.,9656.54,EUR,2024-04-26,04:55:15,False
7f14097d-4586-47ee-9749-277f6329eeb9,DE414472808111926388,PZPKGB4JVB9,DE988364530476025139,FHQEGBTGLPU,So real themselves require along discover.,6515.13,EUR,2024-05-04,09:18:50,False
eb504fee-1232-4c7b-b608-d68abb491e63,DE914579970813106046,LKRYGBOC4SZ,DE954853560240118032,NTLSGBB5VCI,She race meeting owner we drive notice.,43.38,EUR,2023-10-15,15:09:50,False
6ddab808-355b-4ed9-a0f0-dcdb237178cf,DE298288273756010861,EMVQGBSL6VT,DE800798461476649898,UIJPGBGHSGV,Partner account something.,9892.12,EUR,2023-11-01,21:28:54,False
bbc61aaa-6771-42c5-af0f-0f3d5fdb80dc,DE016829680222221634,JVSJGBMC3AJ,DE600730093872340527,KHTCGBYT183,Nothing teacher teacher.,7007.45,USD,2022-10-19,12:27:29,False
3e35583e-9e35-4f6f-bbfa-04694b4dacd3,DE242540740184389071,UAGWGBTXWL1,DE046622279006586756,EUEWGBEWT79,Hotel through store skill evening born risk.,7197.05,EUR,2020-03-29,09:13:35,False
c190edc4-52b2-44b5-b601-86cf841761e4,DE152813515464052034,TQICGB2DYBU,DE777811020756501030,TNAWGBF0M84,Government fish should woman decade form cold.,2601.91,USD,2020-08-26,07:51:34,False
b6ab2f30-4974-4e9c-b7fe-7d513c8371b4,DE116158092917229222,IUGIGBDEH1G,DE930123101591281782,AOTXGB3WTAW,Upon born can discuss same stop throw.,3865.54,USD,2021-11-11,23:04:10,False
d853d95c-eed1-410b-99cb-d9c2eb7c39af,DE338281875819091695,OZHHGBTU7WU,DE177150092152075460,DAPVGB1O7DM,Who wait exist.,259.68,USD,2023-01-02,12:02:55,False
2e007e92-c23d-484b-ae12-d436ce8f304e,DE682507387674694019,ZMXIGBE4NQN,DE174112799795993123,IBWUGBSPZN8,Cost series east next relationship list.,5720.11,EUR,2020-09-24,22:47:28,False
d8e5fbb9-630d-4c38-b70e-f855fe364c82,DE796417560824207493,XYHRGBPNT4H,DE001382264663908719,JIASGBCIOOD,Allow century gun.,6395.77,EUR,2023-11-26,18:59:57,False
c2eb8916-dc84-4a65-8308-c99ad4b5ad36,DE188008881864445338,AIGRGBU9FYL,DE126295298479378347,IKJJGBJ1RR6,Customer somebody seven over movement wide various.,7819.29,EUR,2021-04-12,13:09:45,False
44d88cfb-0835-41d9-b07f-ab6087b742bc,DE078144931666688113,ISRPGBWSNWT,DE256460135397087953,WGBBGBU1OPD,Late decade effect everyone rather hit occur.,8833.12,USD,2022-07-04,07:27:56,False
1a38dca7-3919-450e-9d61-1454eb95cb3d,DE435584111987847419,QGFGGB3GUG7,DE672754780715013956,PTBWGBCEJAV,Show top order course training prevent professional.,4542.1,EUR,2020-08-22,20:32:21,False
51fb75e8-e979-4b09-83dd-f8605c02ef6e,DE499933571437905841,SAIZGBDW4LL,DE855543767026378259,DUZIGB8AHRK,Few foreign wife just cultural.,8840.33,USD,2022-05-23,23:22:33,False
8c01b5b4-45e2-4f74-b14f-38912f51b357,DE215363503327152928,GDWRGBP8QMI,DE475434274048604169,VKUZGBM8QXW,Four care stuff whatever her want.,7112.19,USD,2021-05-17,22:59:39,False
3ba1c7ba-a58e-4a7a-bba8-305b2e02bcda,DE971542077250751548,ICZXGBEA3T1,DE680713380818004357,KBXSGBND1MO,Treat network great remain story defense.,7501.76,USD,2023-12-07,10:02:21,False
70494720-fc61-457c-aaf7-81f8e88f98c2,DE984518561100187927,WLVTGBU9MJK,DE409337397525597470,TJEEGBMGINJ,Hear really fall many score very student.,8677.79,USD,2021-02-03,10:09:07,False
19599b21-c57e-43e5-aec6-b5ef228e697f,DE760854459064887798,CWESGB9CZE2,DE298044730274368965,AHTQGBKRF7T,Bar significant every.,5965.43,USD,2023-12-12,18:21:28,False
72512ef2-8c30-4315-9d38-ec2f4f21a65d,DE340146471569799895,TWESGBWSO8X,DE318224732051113814,HSAMGBVJV05,Add high police need fill into group guy.,2515.61,EUR,2021-03-09,06:15:14,False
f66e5c04-ae20-4a4d-a79d-c7e156aecdcb,DE355719317765779524,QGQIGBDLZGJ,DE682796735689492372,YILOGB5ZYNX,Senior service rest protect another property away.,1121.67,USD,2023-06-07,17:59:35,False
a6d42b21-3947-4db6-abd4-2b8859b70aac,DE431215660888852045,RJSVGBOU52Z,DE408933622557867164,LNZJGB8TGXA,Up rise something sometimes including set.,6384.88,USD,2023-03-20,19:33:05,False
b23b7109-43e9-4d22-830f-010edc36e0e6,DE586140739748578894,MCNOGBUN7SE,DE673752826016175868,ZHPEGBXFIRI,Authority economic benefit late building civil.,7656.79,EUR,2021-11-09,13:06:36,False
24cc8c62-ec12-4849-a48b-96fc301841c0,DE824513861761416872,WFMBGBAPR6O,DE064327046240308706,BFOVGBSC264,Different long at child miss purpose lead leader.,2660.99,USD,2023-08-11,00:46:27,False
a8c23be1-4f74-4740-bdee-9e899ee8e9c2,DE444721191486039049,ATTGGB3HEYI,DE575648174877757426,BDGDGB4J4RZ,Part nearly back on test.,5343.55,USD,2022-12-17,15:35:30,False
53c42576-d1b2-4291-8d14-cce9aa6650f0,DE797621336669280064,YMLPGBEX0GZ,DE631774509820629167,UFEGGB65HWS,Act trial budget travel.,3213.97,EUR,2023-08-10,16:48:55,False
eeb89f08-968c-44d1-b299-1a125f884e6d,DE460913358257813641,FXWNGBOYGXP,DE937078190885564569,VQLAGBHADQ0,Particular worker individual support lot vote represent.,6903.5,USD,2024-01-17,08:28:45,False
db6e27bd-7d5f-4a78-982e-87330372f0bf,DE937074514010665965,BYGFGBG22VA,DE359301451026873261,CQMUGBQZK3L,Cell religious tend catch stuff soldier general.,7493.82,USD,2022-02-09,17:26:31,False
4771ef69-d392-4624-b63a-823aa9b56aae,DE017547084388832806,IHOFGBLYKRT,DE907173298629205560,MKONGB9LAAO,Hour major trip enjoy.,9215.52,USD,2024-05-26,09:05:22,False
c3d6089e-c1eb-427b-b171-806827f18be0,DE106273079818678468,OSUTGBQDFCR,DE710548865632093583,RDSJGBJC4H4,Mrs painting even.,8295.11,USD,2022-06-12,13:29:00,False
b47128bd-801d-44a1-ba3c-6065ee53cad3,DE487861868119775259,BHWVGBYA2N5,DE324494996824509841,VTUCGBCV3F2,Choose challenge far exist outside house century.,5785.42,USD,2023-01-04,12:02:04,False
7091c100-9f6c-403d-acc2-6e8709683b52,DE113797296099334677,PEHHGBMVI5J,DE730616281981549940,WKVGGBWNI1Y,Lay owner fly more language police style.,9806.77,EUR,2021-09-02,16:40:32,False
