transaction_id,submitter_IBAN,submitter_BIC,receiver_IBAN,receiver_BIC,reference,amount,currency,transaction_date,transaction_time,is_suspicious
0fbd1cc6-5700-479a-ae04-125126c2b08c,DE549055564240188464,ZXETGB2XZZX,DE920185593323080346,ZSSSGBY77RQ,Loss career feel sound cost all.,9102.58,USD,2021-06-25,21:26:52,False
ab0f98ed-3c55-4fc4-b29d-ef58da2cb347,DE350527706561289839,PEOCGBLG223,DE625579727997829315,POXKGBG3IQM,Employee property value.,4629.25,USD,2024-05-10,03:22:11,False
50ec0c5c-409e-4225-a456-dca573fee1ff,DE740001006873579729,RQWIGBP1OXW,DE369911481085026207,LMYQGBYHDD9,Participant those newspaper many look foot green blue.,3355.59,USD,2021-09-08,10:04:38,False
d7ef0e2a-b0fc-4023-b098-28ee0d4f2854,DE075460204419005753,DWJDGBJ75QI,DE663435786159293319,SCNBGBYYKZ9,It similar common feeling.,7801.2,USD,2021-07-06,14:45:14,False
8a20b948-1490-4c33-9b17-df46565519ae,DE923463384845739277,WNABGBAJJ25,DE915166074982952040,MERGGBFU4BQ,New anyone TV traditional want season college.,3977.8,USD,2020-09-25,20:06:28,False
441d7184-bd93-408a-96d4-765970c32667,DE733285612290885757,PUMTGBP0K6S,DE098561257216038791,ANVRGBZCZ0G,Her some Republican.,8248.45,EUR,2024-01-26,12:53:07,False
ffad702f-a556-4b51-bb63-0322df72b990,DE418464160223887459,OHYOGB4MYMH,DE286766063618177071,VYWWGBAAE15,Whose choice tonight receive reach lose bed arm.,3349.49,USD,2023-07-22,13:41:34,False
c5258061-2974-468c-842b-27a7ebc37e36,DE576678446187299113,AVVNGB3A3ZH,DE283545797290868594,ZBPXGBE3N59,Whole necessary per argue still agreement step.,4255.67,USD,2021-04-05,18:34:20,False
4ae006eb-bc9f-4858-87e8-d7301e0d95c9,DE753181334981623275,YHPFGBBL9Q3,DE317120487729536303,ZOVCGB4HYZY,Central staff town song our.,178.59,USD,2021-12-28,00:15:12,False
f7e5487d-e6e8-46c7-ba59-d1b711f22c5a,DE585902019044752930,SVQIGBEXX6D,DE367153880111661326,FZTPGBF3SRX,Nor she suffer.,5166.81,USD,2023-10-25,07:48:08,False
fe90796c-5159-4ed4-a18f-06bcb3fa5dcc,DE788006841421386161,PKFQGB60MAL,DE466272784726070520,XLSKGBSTDS9,New suggest debate above.,8767.55,EUR,2023-04-06,06:13:19,False
3b6dc868-b6b2-42f6-971f-721d299dcdc1,DE531305854610184302,FYEQGBUB9XY,DE066984113890980132,RHRKGBGI7NL,Exist actually guess foreign speak.,2628.73,EUR,2022-02-26,10:10:47,False
475f40ac-8ac8-47c0-9aba-4c72bd5ec0e9,DE185079251864623945,YCPJGBCPISV,DE415150255378862798,NLVWGBYPSE9,Difference majority national half sort simply environmental.,8458.22,EUR,2021-06-01,12:43:09,False
cdef4363-21f2-461e-a0ae-4d53c4d15b6f,DE106821146396675988,MVQAGBIIYWG,DE841337990891842032,AQGRGB6KJJ9,Reflect in four half wonder subject drop employee.,9428.23,USD,2021-02-06,17:22:40,False
1881fa4b-4274-4eb7-8550-5f25545772ed,DE043853859802515944,CEDVGB2VWNG,DE955691981031477376,BPUCGBXBAKY,As town discussion reach reduce last tonight.,832.55,USD,2021-05-11,12:08:08,False
46480f71-ebf3-4037-b05d-f6deafeece53,DE445994065391157921,YYMOGB01YB2,DE620960442522804472,VMHLGB95OFR,Full ball because animal.,5143.7,USD,2022-09-11,17:32:52,False
083b17c2-fdee-43b4-88cf-58413fb9bbd4,DE091620539673359346,YRIZGB04KDS,DE909256385044807882,XFEKGBNKTF2,In huge small order.,4178.55,EUR,2022-06-20,23:21:45,False
f0ec18c1-3514-42eb-b02d-1de3cbad59ee,DE067015298317309724,BGVBGBY2D6A,DE587443065957718043,PJWNGB0DT63,Raise question piece.,9912.96,EUR,2023-10-07,23:59:56,False
5b84224d-1da9-4ec9-8f75-46cd9e358ac4,DE397240605613415795,CEQEGBV1VTR,DE111926557787693016,LLJJGBKJUQE,However yes rock thought sign.,241.5,EUR,2021-07-02,16:24:55,False
b11e1330-1bdd-4ed6-8caa-169a4a224121,DE436152535715162074,NUKCGBZDH2E,DE401425121347147816,ZPKIGB5BJFC,Eat feeling full property agent most scene.,3201.23,EUR,2022-09-21,23:00:34,False
2edb5378-8195-4306-9f9a-b475eec798f9,DE157859585986573973,BOMUGBWOPAL,DE888415491344361777,EJMDGBK2NT9,Challenge create deep child carry.,8756.87,USD,2020-08-08,03:29:03,False
e861320d-fcb7-4935-93f5-77dc7eb42445,DE416199832265464126,FQTPGBMM48Y,DE722039897813570082,VYKJGBKQ8PX,Bring owner provide.,156.64,USD,2023-01-08,12:39:03,False
93fde3f9-66f4-44bc-b910-8f7da00f84af,DE067307219785906430,NWKJGB6UOK7,DE442591896793161697,ZBMBGBUZ9OK,What instead federal.,7107.76,USD,2021-04-30,08:30:04,False
1ae2782a-788c-4eb4-8c29-05a6211b2840,DE439769776879427498,LSUVGB0UAW9,DE731245287188109082,LPUYGBKR5LP,Concern teach assume always process class board.,3089.34,EUR,2021-05-22,07:21:44,False
