transaction_id,submitter_IBAN,submitter_BIC,receiver_IBAN,receiver_BIC,reference,amount,currency,transaction_date,transaction_time,is_suspicious
12a184f0-1240-4a02-82b7-2b52d70b522e,DE857182750023741767,HKCFGB85GKX,DE909143392287529386,AEMPGB51EHU,Language thought mother measure third position.,1168.83,USD,2020-02-23,03:14:50,False
06f186d0-6860-40ba-a584-6a667f7f5f2b,DE327229913352970054,NEBCGBE1YXJ,DE254941348666019808,DQLDGB7YQZ8,Build buy something certain hour.,7665.15,EUR,2022-08-20,02:57:06,False
9381b285-f164-4ea5-aa24-7770440c15c7,DE688469216692990483,VJRZGB41YPC,DE582979934207692819,FWRXGB42XV7,Off which family north nice want stand.,6966.9,EUR,2022-07-09,21:53:55,False
dec17e0d-e68e-4ad2-9e1f-7abd2e636442,DE833832667395334279,JQIMGBIL1TL,DE863111350231210373,BKYWGBZ53M9,Sea imagine care entire.,4956.72,EUR,2020-03-27,07:29:36,False
75f4efd4-9a8a-4d1e-94ad-5fb42d6b6806,DE902140951850276789,HDDWGBK58GP,DE729133493671591230,IQEOGBA7IQZ,Factor attention near record future age fall.,5514.17,EUR,2021-07-29,17:46:14,False
4fc349f3-6ea5-445e-9bd1-ff276c87f273,DE471288041516807184,GGBMGBI5N95,DE097473498375328216,TNIFGBDUI2N,Why house manage modern bed color.,6799.96,EUR,2022-08-15,20:10:28,False
42638aa5-118e-405b-b030-751063839fcb,DE909333330170853036,WZOAGBHTEKM,DE387267945458940227,NGSDGBL9EYL,Claim me four whether imagine dinner.,4169.2,USD,2023-08-31,08:31:46,False
9b9f119a-bc74-4423-919a-234cd9649b06,DE597917454314981185,ERSBGB0WKPZ,DE707054276984670988,VBESGBVR7MR,Suggest responsibility perhaps job market teacher enter.,8812.11,EUR,2023-10-24,06:56:59,False
920c2ed4-115c-442c-85c3-c524c9424364,DE896130534303867240,KXRRGBWH5N4,DE522203171268630009,SAOJGBCL0D8,Gun every price wrong million.,6991.94,USD,2020-07-20,06:34:13,False
7276df95-d38a-4fa9-bd41-6b1a35a0ade1,DE160172054454314667,MRWCGBHHXJ2,DE194787313514473281,QHMUGBJFCF8,Age kitchen stay against myself.,6452.17,USD,2021-07-20,03:50:41,False
4e8ab172-b96e-4bdb-982d-5a762baaefc5,DE045100401744633157,XGCOGBJIF5Y,DE732373259011233561,URBXGB1NCFR,Career each public check like teach.,8045.05,EUR,2023-07-17,09:32:01,False
558ab314-c658-43e7-9213-2b12df30c39d,DE902297203424715552,PQCUGB6DH1N,DE113467846011300342,LUYWGBK4GII,Operation business alone candidate full training degree.,9000.6,EUR,2023-09-15,10:54:46,False
9fc8cd57-d899-481d-83c5-4daedc6f619c,DE533976726738601948,VBFDGBNSJEM,DE512252721346203639,ZZJDGBUG542,Herself sell second.,6325.79,USD,2020-04-10,13:51:52,False
0770635b-fa45-46b6-a6ff-369dea2685c6,DE368868687454820790,ABVQGBQ3O5E,DE203935988775401803,TRBZGB7V367,Environment everything voice American society.,2884.77,EUR,2022-04-10,20:36:28,False
6bab51bd-c6e8-4f07-9f50-d7ab20b90da3,DE786426821020647303,BJYBGBRQRYM,DE298294084865908561,GMTQGB7EJV7,Test far middle cup run day by each.,7062.69,USD,2023-02-17,09:53:14,False
1033e3f2-4edf-4a6c-81e6-896985788028,DE662401826928594774,NBNVGBZ2J6F,DE554141380962312240,DCDBGB97YJ2,Report record then ok year forward century.,6780.12,EUR,2024-04-02,23:24:56,False
4b0090c3-9f18-4f68-a361-32dbdb5d742e,DE294883293444469622,JZPBGBG9Z7Q,DE881976537775744307,OMVVGBED2ST,Century similar agree bag conference within far computer.,2302.37,USD,2023-04-06,02:09:34,False
97838b6d-66b8-44af-804a-bf9249ede653,DE642075459476018801,VJAQGBFJ12L,DE979979857233413012,GNTFGB0835P,Push support let financial probably.,535.34,EUR,2022-02-19,19:01:12,False
4a4a2fe4-d6d3-4397-a6d2-ff9e98b8a562,DE432159576100180993,VNQDGBI4346,DE871592282296574909,QCBDGB7QRYJ,Certain and public them.,286.9,EUR,2022-03-07,23:40:05,False
cd6c012e-6f07-478d-8114-da0cc8afc6f2,DE193303915389529900,YGAZGB2MADD,DE770459354316915929,CHIAGBBJUTR,Successful week skin already edge start buy.,3993.66,EUR,2023-01-30,17:13:44,False
