transaction_id,submitter_IBAN,submitter_BIC,receiver_IBAN,receiver_BIC,reference,amount,currency,transaction_date,transaction_time,is_suspicious
f16f79f6-e94f-4a86-893f-bc3596abf678,DE068937834899350718,HACQGBJXQ7U,DE897257242051876864,EHHHGBNQM8T,Want send fish lot fund.,9891.44,EUR,2022-02-01,19:25:18,False
d04d49ed-cb24-4469-b386-260a453f487a,DE692956647465429838,FQLAGBSHLDM,DE416265808117680093,BGUYGBLJQKE,Blue positive sometimes American.,2493.92,EUR,2021-07-18,14:35:59,False
4fb3027d-0f87-4948-868e-cfa6acf148f6,DE584235246196296928,XZZPGBIWB52,DE864880164422109400,EAZYGBK5VY1,I system north scientist need.,896.35,EUR,2021-08-03,01:37:29,False
cd1a1383-2503-4523-aee3-71d778e63cdb,DE369083654233100906,QGLKGB8CJCS,DE131000081564256364,FGUXGB3DURM,Six per consumer Democrat.,975.02,EUR,2024-04-28,02:32:44,False
0bd22b51-6212-4232-bcf2-2ae4ca264ba8,DE850170227535575905,GPLYGBEALTJ,DE772568053269706405,UMAYGBCP0BL,Support government century.,2052.29,USD,2020-08-21,03:08:35,False
634c977f-a2cc-40c0-b054-2ea2f1368cdd,DE065218296464806112,XNWXGBA7XFO,DE682964416540519172,YRWKGBTI7WA,Official cover evidence sport.,948.45,USD,2021-09-15,19:52:31,False
d7dd84cd-8440-41f9-b547-73afa603d983,DE466794978146016819,AADEGBWIVDA,DE249861838924411621,TYZXGBMWT2L,Medical career book approach card determine public hit.,5942.76,USD,2022-11-19,17:28:55,False
f994bba7-97e4-4ae3-afc3-351714342f7c,DE809974520392835219,HHQSGBQGQPZ,DE613336472378587795,FRSJGBG177Z,Friend mind live management between after.,9557.05,USD,2021-03-08,05:26:33,False
02eaf11d-159d-492b-98b7-e391eb9aa2c2,DE840112090619194432,ZJOKGBDBLA4,DE351062529420222969,BPZIGB947N7,May always suffer machine series wrong organization data.,5419.1,EUR,2020-11-04,11:35:15,False
def7c092-3d7b-4298-bfd3-cce84d4c143a,DE584632299648666858,PMLRGBRSS99,DE686348205969961644,TSIAGB9N2QE,Bill rate rise purpose glass far white.,8038.74,USD,2022-12-12,00:11:17,False
01e9a551-5260-4e99-aa2a-e5ceb0bcaa38,DE559548650144874916,XHBNGB7ZCAF,DE248120428170233086,UNUSGBA4CVH,Pm network according Mr list open begin recently.,364.45,USD,2023-01-29,07:45:50,False
7c87e1b6-bd6f-4067-b7b3-0a1d9b64fc0a,DE785626358392304791,CQPMGBQ6GXV,DE334833738386228915,JMFGGBHZG23,Another find light development much could develop now.,1361.49,EUR,2020-02-23,03:18:34,False
07dcafe9-1651-4cbd-b0dd-c2aaec2cff39,DE548314387914538585,GTBZGBMGOIW,DE970176202886931541,NUSLGBTI2E8,Nothing near hospital store.,6546.97,USD,2024-04-29,06:45:42,False
ea71804a-2308-4434-8097-858a9f88b4ab,DE103279541689032216,AYPQGBN7YWH,DE872324258340147265,JXKJGB5Z12E,Listen system ready become as arm.,5665.07,USD,2022-06-07,05:16:20,False
08854fc2-8bce-4c60-a3a6-e67cd474a294,DE334499903636164544,ILMJGBLVOZP,DE360944309277103333,CGCIGBJ5MGH,Economy candidate series his national indeed.,5017.54,EUR,2022-11-01,03:09:02,False
f2d967d3-bf03-4de4-8aa1-42453e150c52,DE905063480233152573,OJBTGB9W7OF,DE442591896793161697,RPTEGBAI5AP,Just thousand artist.,4890.16,USD,2022-03-12,07:54:06,False
3da3f6ab-0978-4466-99f5-9225d872b54e,DE460456469183280138,BVCQGBGDG1G,DE468208000502330524,SDHEGB0TOG7,Lawyer environmental fish grow somebody.,2588.42,EUR,2023-09-06,00:46:16,False
d0b0663a-720f-4090-9ed7-2849e019fabd,DE026254269147976759,CZNPGBFMFJ5,DE682344704428510618,ZALYGBIRP1C,College a since test buy media stuff animal.,6027.66,USD,2022-11-08,08:52:02,False
87ea2000-5553-46fd-abc5-d40c635a047d,DE267364526280600277,IISNGBFUC28,DE280055540742132168,WXXTGBI7A3O,Better executive own carry instead indicate.,9311.01,EUR,2020-06-02,11:00:34,False
16bc45bb-220c-431e-a158-7cd62e7f55fc,DE257674363862373508,VKRUGBA5ZE6,DE829274316446645587,AANVGBC0JVF,Sea everyone rate.,3703.25,USD,2021-03-25,06:34:15,False
7a6b610a-5619-465b-a525-b9f250b4f3ff,DE065534682297885342,WFLWGBKWV0J,DE659275053770209449,CIREGBOFCVN,Card line along people carry interesting toward.,6417.54,USD,2021-10-09,03:06:52,False
11f40a9d-2fdb-46af-938f-1131dc42d04d,DE554962154192171661,EDPNGB39WNJ,DE379884446456382637,JRZXGB48NG8,Tv region garden.,5164.81,USD,2022-02-11,23:37:32,False
59477601-f4b5-4c09-8aaa-4c06ec77f7c6,DE564034752219698832,IODCGBWH0GX,DE852258046459604508,NUDYGBKDIK0,Situation single relationship necessary rich another.,3453.46,USD,2021-08-02,03:12:39,False
9bb60326-622f-4c8b-9c79-d9723d71bd05,DE853945122184882792,PHGAGBDDEQV,DE940287363535396708,YYIYGBOE5V2,Agree great be to realize foreign.,8973.18,USD,2021-11-29,05:04:07,False
94c3eadc-67a1-4df8-b383-8dcc0d2b5690,DE722787026321849201,OEKDGBNWWFJ,DE410348626459902046,EBTBGBN8Z69,Television its particularly commercial.,1922.5,USD,2022-11-19,19:56:36,False
45b9e829-08e0-4a89-aa3f-f27bacaed24d,DE516050640557223497,BCGRGB3H9Q1,DE868128854622859638,UELTGBI6FBM,Reach unit development beautiful enough president.,3585.05,USD,2020-09-26,09:46:01,False
b1d20835-0d67-4bc0-ae43-b0ae16d4ca9b,DE415833426706551962,RCRMGBTNTS2,DE210669580430937098,BIMBGBI8ROD,Level certain worker what picture art.,5820.28,USD,2022-04-09,05:47:14,False
7251bf42-a2e4-4cbe-b583-1da0f49d922a,DE710258908479826574,ZTQUGB1SL5X,DE033659320075094235,LWOIGBO99G7,Than ago either establish represent.,1494.37,EUR,2022-11-05,02:06:48,False
aab61435-f7f3-46fa-ad14-16029ad6b62c,DE868415595480976198,LTKYGBZW9FY,DE662406695519431602,IKRKGB594RU,Share catch ever the.,8720.16,EUR,2022-09-07,18:22:27,False
c9d4a906-4341-4061-a871-a38587792579,DE971753702000067723,REWLGBW8ERM,DE139697664765525964,SXPPGBPWEF0,Style expert mother a force.,4094.43,EUR,2020-07-19,08:07:22,False
f0a830b4-6f2d-4e89-bda9-bfc451c1ff54,DE260348105476816306,KPYXGB6S1JX,DE880794799330808508,RNRKGBJUTJB,Positive nature poor so.,751.57,EUR,2022-01-02,21:12:26,False
90fd78f4-4cc6-492b-8d3e-997839b1f59e,DE478882309268650311,BAXTGBMFQ6O,DE053252041283342946,VJMPGBKHPCV,Blue represent pick PM cup.,947.72,USD,2020-11-15,17:08:29,False
b714f465-f38f-48da-ba66-313712815eae,DE719028897616473787,YNJMGBAF1VA,DE757591132616718179,AVFXGBARS6O,Threat serve source specific.,7089.67,USD,2024-03-29,13:43:50,False
c131c134-7d53-4d18-85b9-a4d0cf79cfe5,DE293724017255050037,MDUSGBZ4MMX,DE540613159684745297,VDVAGBNNKP8,But again be sort method speak hundred dinner.,7169.38,EUR,2022-09-02,19:17:20,False
b3374c84-0c64-4ee4-a8b2-2c9773823d3e,DE409706386610098575,JRQAGBWYMJO,DE938432389743163739,JYDMGB4MF59,Piece magazine true small indeed put.,897.34,USD,2023-07-12,12:32:36,False
a7e69b15-dc24-47e8-9d3c-bbb980fcd4e8,DE185412086939120429,RNUJGBNAH1D,DE982125881822046540,VRCOGBRQ390,Hot improve pattern another.,4573.78,EUR,2024-01-06,04:13:37,False
