transaction_id,submitter_IBAN,submitter_BIC,receiver_IBAN,receiver_BIC,reference,amount,currency,transaction_date,transaction_time,is_suspicious
0c431a35-f2bf-44fe-8852-db1ba031f345,DE474344103065661968,SJYQGBJLT72,DE183010135204161395,RSCGGB6RWTL,Capital show imagine degree direction wide.,1928.63,USD,2022-10-30,15:13:06,False
1aa9f0ab-3c69-4ac8-84e0-f8c7c24314bf,DE234043674378865845,RWBKGBT6V81,DE433060115545343189,EGAUGBR6GH1,Economy off near a front court.,9979.66,USD,2021-12-21,06:45:55,False
bf65b744-42f0-4c7b-8537-39d473ff10eb,DE311451957068836282,EQIVGB05CI0,DE150244947898630117,MLIAGBCZSBN,Become interesting these up door team.,5077.75,EUR,2020-10-30,09:15:52,False
7c1a4961-090a-4a28-9fe6-bfd23c43ad34,DE778009041693279627,FTVDGBRIRJF,DE054649845660513068,VKJSGBAZ5O9,Around bed American detail spend.,922.3,EUR,2024-04-10,07:04:51,False
4d7b6ead-8547-48cc-88dc-d9cee9615b5a,DE015521605298526754,JMZMGB922YJ,DE866289885454755868,SKBFGBYICVW,Ago skill good authority administration body.,1344.09,USD,2023-01-07,11:07:58,False
fbc6b1d6-6874-4690-9a64-af2bd1eba859,DE069090693105477308,NQXIGBQXBBO,DE937418242992288219,UABGGBJMHZ5,Hear difficult field section option.,384.37,USD,2024-05-27,23:48:22,False
5ae58bf1-dda2-4c25-922f-8d6edca3c070,DE865131134602224601,XMNLGBCMR6B,DE128852888658220357,SZSAGBX074L,Manage protect determine explain house.,6538.32,EUR,2023-10-26,13:43:01,False
e9d3efb5-477a-4367-95be-07495e839ec8,DE803561378997998003,KGQBGBJNC0L,DE486392168139840993,QJBRGBEEDDL,Determine a whatever task support boy standard.,4681.58,USD,2024-01-06,11:43:50,False
808d0077-1080-485f-97f3-8aea84508f2b,DE078180984985999685,TSGTGBWQANU,DE721874475210302316,MUELGB266XQ,Probably property two country big present TV.,2481.65,USD,2020-07-31,05:28:16,False
604dba6f-0ab8-4249-a2a9-9e425ba3c0dd,DE914180260949605499,ENVFGB1DW1P,DE939108673331958479,QQQJGBXM15X,Discuss increase wall will reality.,7758.79,USD,2021-07-14,07:32:45,False
278d56e9-cc79-482b-bce3-a42c0ddb34e1,DE775301358717548465,NOXPGB01BD1,DE644533291200652651,CJYPGBYWRT7,Mission firm partner memory draw.,5315.85,EUR,2021-04-22,09:50:00,False
0ae7e539-3ab0-4ae5-9724-aafe18602f18,DE928227612928194983,UIVMGBYH7FZ,DE087335011673078476,OSRMGB3L12U,Sense sport reveal low later.,7041.02,EUR,2021-03-10,15:23:02,False
7282a5e1-8e4c-4256-bfad-765897da55c1,DE460912639582230849,XSRHGB8T4V4,DE414778447724878232,SDWHGBSPIUW,Shake respond conference perhaps argue.,5639.95,USD,2021-02-17,03:33:12,False
8d38632b-31a8-42e7-8294-fd572bd2ab34,DE460246397408151164,AHMLGBXOU9U,DE751247277209599773,MZKAGBRJY5S,View of perhaps move color security why.,3184.21,EUR,2023-12-27,21:17:43,False
41eb3f49-ca5f-45cb-a97f-a87609196b1e,DE487027677631486937,NTRVGBB2TX6,DE938963782829487297,FTAKGBM0EIK,Down fine require position.,1514.99,EUR,2020-05-08,13:49:34,False
71ea446d-e362-4881-95f6-f7bb7a112cae,DE440896742220877974,NOCRGBJL4H1,DE981367793168813229,ODSLGBNW0G2,Century would common threat federal.,571.73,EUR,2023-12-12,22:16:37,False
2884b43f-56e7-46d0-9648-a48d2ef3e5d1,DE705367083248035579,LGFYGBEPP1W,DE383121374479037833,CRUSGBPUN8M,Sell that role argue speak push during.,9878.85,EUR,2020-12-13,00:35:20,False
aaf76fb0-1d4d-4353-8a95-2bbe9389eee0,DE008540176178744776,WUOZGB0ZQJM,DE168651198865011977,RYPTGB85MMR,Thank increase player feeling.,3852.21,EUR,2024-05-10,02:37:15,False
790485a9-b795-4a61-a8c7-83234b39c5d8,DE091528373750190379,DNZPGBPEG7L,DE815676382492312866,OMUZGBU9M8S,Another cost pull issue staff course certain.,5308.41,USD,2022-08-31,05:30:11,False
1f7f8acb-e3e3-4646-83c2-25f0675014cf,DE169034287241721332,WWSMGBPGUVX,DE604834798376495802,PPNBGBNGNXP,Message may important music reflect.,9886.75,USD,2022-02-21,20:57:32,False
2a7fafbb-ce7b-46e1-844b-9284fb5dad94,DE187940091651544617,MNEZGBJN3SS,DE601126324352308863,VNAHGBPHDI2,Well rock together affect floor Mrs six generation.,5743.95,EUR,2020-04-24,03:32:25,False
c981048a-4564-4877-931e-ecb26f757018,DE198849004617174579,QORBGBVBFPC,DE411322914229565507,SUKNGB9WHLO,Film tree improve attorney fly age.,1223.99,USD,2023-10-12,17:51:57,False
7ed6b03e-07c0-4fb7-a8c9-19d8f3afa968,DE469536582904948306,IHKHGBCKRXY,DE862905670321713239,CTWHGB0PV0U,The whom need believe stay recent.,502.46,USD,2020-12-21,19:09:14,False
d920386f-3a98-480b-831d-f48a8cacda7d,DE348433168793652882,XMOGGB2OVHZ,DE713520526658958123,VVNQGBAW732,Individual safe second between evidence beautiful beautiful mean.,3146.13,USD,2022-09-05,15:16:22,False
1b322996-d687-4e83-adfb-854e5b30053c,DE368506757805156108,YEXIGBF9ZAY,DE392951239134489123,UGTPGBMYRAM,Bag beyond it teach.,3598.34,EUR,2023-09-12,12:03:44,False
6c00ed2a-b49a-4d30-adc2-5f68e0680857,DE423420678179748380,SMZJGBH9FZD,DE802852544294862433,AOLVGBHR9UY,Investment by quality appear pass present.,9844.84,USD,2022-06-25,17:52:48,False
c01a2a01-e50e-46a2-971e-c5286aaf5151,DE104060831125853392,AOLGGBK81MB,DE049842198375918255,QVJEGBUXIZM,Investment garden against along quite foreign.,5426.39,EUR,2022-04-07,23:05:56,False
21d9b1b5-e0d3-44c1-8b04-a82948e1f80b,DE616736847200783821,LISAGB6JQWY,DE753160792593102730,HOKWGBKVLB6,Discussion hard law.,7723.83,EUR,2020-09-04,00:25:51,False
d68304c9-412a-443c-967a-6c5909395532,DE872849128796240530,UJIQGB5MWPB,DE544563001280914361,JZUIGBISISF,Why figure guy yes industry.,7934.01,USD,2023-11-25,13:28:39,False
09ef3205-099c-4152-b04c-79947a912b3e,DE570515126952304406,HJNTGB1RDEX,DE868664185798819349,HEPAGBJCX6G,Such market far Democrat year environment look.,5520.01,USD,2023-10-12,02:51:53,False
25743e02-8c7a-4613-ad30-629a489e76c1,DE544056939260740441,MUFJGBZJQL1,DE177806470699000317,SHJNGBOYR0J,Television poor attention and recent stay.,3524.19,EUR,2021-04-13,08:26:35,False
