transaction_id,submitter_IBAN,submitter_BIC,receiver_IBAN,receiver_BIC,reference,amount,currency,transaction_date,transaction_time,is_suspicious
3a0ad497-db2a-49c9-a6f9-2346725152d9,DE497479421223124693,XZDHGB09GND,DE350887168237046569,ULAWGBW5IGW,Politics worry event stuff manager some industry.,9969.52,EUR,2024-01-31,13:24:31,False
cec1e2a8-5035-45b6-afd1-aa169b5a4d6c,DE910322206854576030,IOWAGBDAWDO,DE603631173688381467,RAVTGB3OYC5,Actually truth score light view sometimes.,7039.67,USD,2022-11-07,18:58:34,False
b64ff493-9885-4241-a08b-4d2f1d89c1c9,DE249470578299093196,VUCSGBIQZLU,DE659275053770209449,DAIAGBM8D3H,Them organization quality prepare decide day.,238.81,USD,2023-04-24,02:03:05,False
f8424a25-afe0-4369-bcfa-0a85442acb23,DE950644474049853341,WEBDGBZA53W,DE053371537716158012,IQDLGB91194,Our local sense strong southern open time.,7497.32,EUR,2022-01-02,19:06:19,False
ad36830d-02d8-40d6-868d-f4f6a8fe43b1,DE123937578808002139,JOGEGBG8N03,DE930433913105507286,SXBUGBECQ9U,Glass business follow middle single ask piece tax.,7652.7,USD,2020-10-03,13:35:27,False
9270440d-82a4-4045-b56d-841aba4aadb7,DE481665428450291388,HRQNGBOR2BR,DE730622060961148028,UYMCGBVHIB8,Within on environment resource.,1457.73,EUR,2022-10-30,20:17:33,False
d3ac68fb-529f-44f6-b51c-e4b74f18bab4,DE855184616356081256,PYJHGB1LILV,DE160127796347270726,JVWPGBG5K1F,Range couple conference would sing.,3896.98,EUR,2020-09-05,12:46:32,False
500b89cb-7d70-4f0e-8b4c-35dcc73483b4,DE788646247722728656,HSSZGB1ONAA,DE607207456358267554,RBJZGBM3R4B,Stay because idea suffer system successful.,7333.06,USD,2021-01-23,08:30:20,False
e204d8fc-a029-4dfc-a323-b15308cbf54c,DE667170084341351084,BBXPGB02RUJ,DE048547417993531542,RUEQGB1D9SZ,Operation which practice take.,9502.52,EUR,2021-02-27,18:56:16,False
c5007b78-4b8d-41e0-87a1-f2f4b99debfd,DE001972138561607642,KGWTGBW8K26,DE344748289701003336,UBLSGBEINXG,Address even rule cultural girl some.,4771.64,USD,2021-08-30,18:54:19,False
477ff26d-5761-4ed2-80f7-81ab001c6c2c,DE858359091290773431,CLQRGBYPJRL,DE969670146161388458,ZQKHGBY5Z0F,Edge view class exist.,3386.05,EUR,2020-11-19,17:45:14,False
8f8a0fb9-ac1f-4268-b3e8-868ac8f7922a,DE498153210719652917,QDFNGBDZJCS,DE695895236963211197,PKHSGBCRL04,Air him test child late push role.,625.0,EUR,2023-05-25,19:24:03,False
72969844-61cc-46df-81b6-d04a2da792e4,DE782775149120958297,CAUUGB4TAKJ,DE290974913902304832,UWKJGBC7J0P,The everything box audience that maintain seven.,4093.65,USD,2022-01-03,05:45:03,False
efa56072-e948-43ae-bff4-4356b0c2ce94,DE880559978392134435,OWEFGBPJ8HS,DE125942874262111367,TTYRGB75USR,Appear result check oil.,7672.51,USD,2021-11-11,18:23:59,False
d33f90fd-7ae8-46a4-9ecd-b8174dd53033,DE322206606594762856,WMKXGB6SBXR,DE789135363724880762,MNMPGB2XW3U,Foot market early finish.,4214.74,USD,2022-09-12,19:12:05,False
50bf8722-09ab-4545-8c6a-aee73027433b,DE866601391482452422,BCHFGB0DUA1,DE984745554118629052,CWREGBDUHA2,Move hot we movie management.,2116.75,USD,2021-09-22,17:39:45,False
da9697a6-7952-4fe5-b7b6-b2ee0db0eab4,DE200742559115022958,YQEDGBW4TGD,DE197932493439666989,DUHBGB1EBEZ,Staff staff customer now raise wall everything right.,7211.35,USD,2024-03-30,19:41:05,False
63af401f-d636-42cb-9075-fad62f795ab3,DE025942537607282148,WRQOGBONK80,DE968252433409718213,UVFJGB1M4E8,Forward note answer wide strong.,5410.7,USD,2020-03-31,19:11:18,False
d3e53554-1486-4d3e-a31e-c50b3a722efb,DE418938714343449633,XYMEGBUD5XB,DE099718782535071577,NCOBGBB1QT6,Success agency open make notice chance new.,4752.35,USD,2023-04-30,19:40:15,False
f8927c6a-6ed2-47e3-ace8-0351267ad32c,DE677792367642503199,WFMQGB0VTQD,DE613536582968229933,DGZEGB5EYYL,Hear technology go population consider.,4692.26,USD,2021-03-15,13:29:57,False
bbdfc7f5-47d6-4759-9221-1c7a9a3209d5,DE982801096065407563,UOCSGBVZWY9,DE409337397525597470,HNSPGBJGVJF,Even role bit south small.,4024.48,EUR,2024-05-25,18:03:27,False
3ef710a6-2b47-4257-9e98-cd817b014eef,DE705987100153362458,VQUIGBW00WD,DE064576833190628211,YUOJGBIVNDN,House movie tree production it.,3057.48,EUR,2020-01-08,10:17:54,False
8b89ce61-582c-44db-bc29-ffb3895b9e2e,DE281089193147557523,LOJBGB4IHP7,DE380647440314777003,DVGZGB0HO8X,Help medical save window picture trade campaign.,9628.9,USD,2022-01-31,00:15:11,False
d8277e6f-a62d-4450-8196-71f832e3392c,DE042470934257121705,DLEVGBQTRGN,DE395496487208774075,QQBGGBQI1UX,Cell sit sea.,9645.54,EUR,2023-05-02,19:13:55,False
c44da091-bb36-42de-9d8e-4d0425765c61,DE552128743549037172,ZVMCGBM6DHC,DE053106802039442310,ORRCGBMDJLQ,Through effort store several whether skin similar.,8868.32,EUR,2023-04-06,00:59:58,False
6e87dec4-83f8-4f0d-8d3e-0e9f256b7a1a,DE395678773173345095,HCBHGB5AUCO,DE609443711421543686,DRKYGBU096M,Describe road ball for myself he.,5737.69,USD,2021-09-11,17:31:53,False
ab59c8f0-9faf-4b89-ab22-a1e7af0f9d13,DE874800909366040325,GEFKGB46WJ3,DE266431585508729772,RDIVGBQSJQ9,Quality green fund child he.,914.07,EUR,2020-03-19,08:39:40,False
ce69831b-c087-4a9b-9656-3d8ca9c52644,DE225826786584397952,IENXGBAY9GG,DE231727022400428998,ZRRGGBN5CVB,Cost measure Mrs road.,8920.11,USD,2022-02-17,00:16:57,False
2b06cac2-7094-45bc-9bb5-8f45d9fd8bcf,DE290099092520351448,EEBTGBLX1RU,DE602370086428283192,ASAJGBYW4SY,Building its be glass however third his.,2390.55,EUR,2020-05-11,14:49:16,False
cbea6e89-3003-4399-b902-198e36e0ede5,DE633736992001860630,TXQJGB68VSS,DE272648952701674731,DATAGB33EUX,Consider ask house Congress picture attack.,8395.33,USD,2023-02-14,23:22:49,False
f13ae948-5ef8-45b8-97e3-caa096632d56,DE278150120687652527,ZGIQGBBMJY2,DE559228233045380871,QQVQGBZXF7S,No identify final west.,1513.67,USD,2022-08-24,14:59:48,False
