transaction_id,submitter_IBAN,submitter_BIC,receiver_IBAN,receiver_BIC,reference,amount,currency,transaction_date,transaction_time,is_suspicious
01b111ce-02e3-42f6-a300-b657da513f63,DE526632466082482176,MEWPGBRB48C,DE891253146688144167,DWXIGBFKJJ5,Spend office trip.,5182.07,USD,2021-03-29,05:33:35,False
8a3db628-5d41-4961-8be0-8870f56ca0fe,DE743094080088665482,IVBBGBH1Q3T,DE963987060585824459,MMLFGBC6XCU,Analysis maybe natural rule message art cold.,4007.5,EUR,2023-04-09,00:54:14,False
d8b344c5-52eb-479a-a059-ea34c236efcf,DE340159890937917293,DIUAGBIHP5C,DE935837805098920913,FEOOGB435Z2,Build character two since.,4676.18,EUR,2020-02-10,15:03:37,False
db237328-c423-4c06-893d-474ab2acd3f9,DE654055046312505155,PTDKGB679KU,DE114244543311328691,XIHOGBS35ZK,Shoulder continue exist poor.,8664.13,USD,2022-12-23,03:28:41,False
7b0c74ab-9854-4431-bad7-0a58edcdaf5a,DE301716211164717795,XPRMGB3F28V,DE523057145881495528,RFBXGBJ75SY,Care language operation per ever.,3241.82,EUR,2022-08-15,02:09:26,False
d301f5f6-cba0-4e02-bd21-7c0e4dc9ac13,DE790487889046033650,OSGRGB32YN2,DE358527960389494736,DBEZGBP6931,Lead fact answer person compare sure whole.,952.63,USD,2020-06-10,10:35:59,False
3c51ea2a-3c96-4a6f-8a51-15d4a63ed179,DE461342737935968400,IUOXGBW5R30,DE828250534805602327,FPLIGBXZUCI,Woman water trade consider public when challenge.,9432.81,EUR,2020-02-28,16:14:58,False
d5abe5bd-2391-4544-8011-1493d8694d3b,DE161122207168788928,TJOWGB9XDAW,DE297758991536240514,AJLIGBBAOC3,Whom effect maybe guy class.,3956.37,USD,2024-04-21,03:04:24,False
14665ab3-21b1-44a1-b5bb-c136cbf48f95,DE415083210385841799,DLTXGBF051S,DE294933456555697299,BKIPGB2ZQB6,Place onto should short eight different.,1797.55,USD,2022-07-27,16:11:37,False
9f7afe52-14c1-4eaf-bc39-197ca5de5b6e,DE833888508886247785,YAJIGB2JXHA,DE811006023687902916,PRHJGBKSRSM,Sense day woman exactly.,5811.37,USD,2020-02-08,13:03:40,False
52866b84-26fe-4c9f-b6fa-a75c505bddcc,DE387016992846216381,KLHIGBPDL4N,DE129134228752951702,PQLHGBNOIST,Walk whom produce finally spend letter evidence.,425.48,EUR,2023-02-11,08:54:11,False
a6ec35a1-5aea-4f76-a493-633018ca8bef,DE744317226392671185,AOHVGB6FKQ5,DE571843707251867089,LZAOGBKUI4S,Day change officer smile.,7022.24,EUR,2023-10-18,10:14:32,False
7cc9a708-def5-4c63-9a68-09d08cb6efcf,DE410105112800033483,WRCOGBKNTJQ,DE977032436639124840,TUCHGBLA2OZ,Interview season rise data.,9766.84,USD,2021-06-13,18:20:53,False
ff36c658-e749-4494-b25d-622ac6fa669f,DE252366339006409657,XZHPGB5PRKL,DE819608641074903487,MFLUGBKVQHB,Mr room this official two.,9202.11,USD,2022-01-09,00:55:48,False
549ece00-786f-4aed-b4c8-8766acc99196,DE902575016420210441,AFFQGB886S8,DE947835870233068548,NDAHGBZXVHI,Another level debate huge shake page.,8707.46,USD,2020-07-31,13:18:26,False
7f146430-5aae-4189-9f57-1867ea35ddd3,DE381278083464401186,KENCGBXNZR8,DE466297558760720310,CDJSGBEZS0A,State worker listen.,8683.66,EUR,2022-12-04,03:11:29,False
6f3b4aeb-18a6-4e98-99ab-f159860053a8,DE287988995266184864,WSKNGBCHETA,DE740964684167191403,PLPLGBPYFWB,Despite himself camera treat range nature team hospital.,8157.02,EUR,2023-11-11,10:12:52,False
eb582183-0ff7-4519-889a-f0d5b11efd7e,DE823554402656665267,SGYMGBE2TB6,DE704176071520006616,LXALGBGWYYZ,Local response service all art might serve.,3735.48,EUR,2021-01-17,01:55:29,False
81883795-651c-480d-838b-a3d65d34e1b4,DE362295834243490629,BRNAGB7AF0P,DE481040422191515346,ZCMPGBL8KWA,Eat series hundred speak administration.,4151.37,EUR,2020-08-16,01:03:38,False
319a8810-3f59-4ba4-bbda-678378150e04,DE298242724095662679,GKKKGBPMR32,DE709643732667558080,LOAVGBD5VQS,Likely whole firm media.,3737.47,EUR,2023-06-15,04:37:03,False
1ddef829-ecec-4576-a30b-1b4124a36609,DE246561966091932424,ORFWGBHUYYD,DE811705269293581744,CHRJGBYRBUT,Wide wall then everyone return health.,157.43,USD,2022-11-13,05:17:19,False
a7c7464b-5041-4223-8453-3164f9284f08,DE898099000188749957,WDERGBMG7B5,DE562668484713701224,RSFMGBOV4S3,Part paper thing down no.,8736.74,USD,2023-02-24,15:35:32,False
9bd758ce-b974-4edb-b21f-ce93821b5224,DE940747093945107278,SXFUGBUB4LA,DE662942273371140013,XZYGGBR36EX,Yet garden similar possible world.,4474.27,USD,2021-02-28,21:33:52,False
61f67849-d8c8-4438-930d-a0362cccc9bd,DE614701224766877024,VQAHGB1F43L,DE055717003306718107,TFCNGBZ9RKL,Development as specific skin knowledge.,6824.69,EUR,2021-01-09,13:34:50,False
54a9b0ad-fc65-4345-b895-b7ce029d0692,DE784494888078806248,AEKQGBGRCTH,DE730804118082673782,EONZGBE47W2,Provide probably value fact computer positive report.,8195.4,USD,2022-03-21,16:02:25,False
c125037d-3dc9-4620-8be6-544e49463eb2,DE768702238915167957,LFOXGBGU5IR,DE753416072481492817,FLZNGBLUSFE,Something become sound challenge group.,8699.02,EUR,2023-06-30,20:37:55,False
587ac3c9-ed4f-42c0-9082-e61ec60333cf,DE847632251070312165,BMELGBCPAEQ,DE362173150501972134,ZEJYGB9KS2N,Table trade draw.,9603.89,USD,2024-01-26,11:30:24,False
639121ff-b7ee-4d9a-a53e-f2067add1ba7,DE577426429985776610,KXEBGBCN8RX,DE232630650368549271,SUVCGBAPYE0,Green leader talk.,1757.34,USD,2020-01-18,03:56:57,False
d2554c47-ee7f-4f6f-8157-7dd59650d87e,DE751221094261210434,YLLOGBS4ZKC,DE553291929713366679,ASRWGBH4SM1,Better experience same any wide now.,9405.85,EUR,2024-02-08,22:10:21,False
