transaction_id,submitter_IBAN,submitter_BIC,receiver_IBAN,receiver_BIC,reference,amount,currency,transaction_date,transaction_time,is_suspicious
4ee411e5-f50f-4c2b-b45c-e112d07b9fce,DE993052480367534429,JNWHGBWX4AE,DE068832766580177091,FFKWGB4ZKS5,Worker movement PM could size hour.,8810.75,USD,2020-05-24,20:00:48,False
9fd82c4f-fb06-4e20-a5f8-3a1f56bf2257,DE437207236184433065,ANFZGBGSTSR,DE689707677130412463,FANEGBENKYC,Reflect result house civil executive heart of.,394.21,EUR,2020-06-24,05:03:43,False
14025424-0a64-421f-be3d-6da49eb35d0d,DE902052193828477326,WXAVGBOKQSN,DE868404818751586393,WSFVGBTLFUE,Employee management past yeah station behavior glass off.,8951.71,EUR,2021-05-11,14:17:41,False
e2f501f3-1207-435c-aa2d-5e6b9ec4ac88,DE497161311413052740,ZWDKGBVB9XL,DE820759370612173753,JURLGBIDGYW,Total nation camera approach baby.,5132.78,EUR,2022-08-16,19:17:24,False
3b865f69-d85c-441a-a26e-c762bf43c7f3,DE174801466424085897,NBQBGBYWNPD,DE661831525433574710,MKZXGBGHIP6,Reality me throughout drug hand.,7481.17,USD,2020-11-07,14:00:11,False
730dcbae-75f3-4518-adad-a8f50a03f840,DE901293792709865304,DZBRGB8JO31,DE247738802238671564,ZHRWGB58ZT3,Various serve animal whole.,3879.7,USD,2023-12-04,07:14:27,False
0ca95588-a275-4bb7-bdca-bc6274495116,DE456370189428227470,ZOOYGBGUIHY,DE499756983980454859,BGRRGBSTQ71,Bring movie forget perhaps light agreement option blood.,7566.32,USD,2023-09-17,03:41:01,False
0d6e7fb4-068f-4b98-86e6-70be6580905a,DE323661918859638035,HXWWGB96AGJ,DE977986147601627816,ZNBWGBKOMPG,Station enjoy matter figure.,1910.5,EUR,2024-04-10,09:32:56,False
916dad7d-3130-49b9-ae73-2b4595accdca,DE240303482902115974,ALFRGBA608F,DE941954494410199250,QQZOGB27ZU3,Let short thank chance pay tough.,6356.66,USD,2020-12-17,04:42:07,False
60daac26-5300-4377-b9fd-8a90b2fd6ac3,DE710307924806673154,GOKEGBUSFPH,DE022631466146949470,TGDNGBCZ1SQ,Put center anyone meet again.,1737.84,EUR,2020-06-04,08:26:58,False
0123a758-1805-41a7-a67f-fd21d22a23e3,DE365633384739178366,CVSIGBJCLC4,DE548232120646322858,WNBYGB2SQ7S,Must myself agency court.,4726.98,USD,2020-05-08,04:14:14,False
