transaction_id,submitter_IBAN,submitter_BIC,receiver_IBAN,receiver_BIC,reference,amount,currency,transaction_date,transaction_time,is_suspicious
1d0fb982-a39c-42a8-87c9-be6f5a636c58,DE026828190295709963,PDSXGBY0KJF,DE256536093617035141,JGYCGBTO3IH,Local back method minute early.,5903.71,USD,2022-01-10,08:08:52,False
25328be0-0b02-43c8-b912-f6fedfa3029f,DE608644036366250840,LQOMGBHMQ9I,DE351022505853429790,RWSSGB4ZCXQ,Father improve success today result order store.,883.6,EUR,2022-07-29,16:24:25,False
02a5b4a0-0c30-4efe-821b-0ef1a39b1e61,DE548016000181559534,EPDYGB6IQK7,DE593711808426053829,FFIRGBBH5W9,Ready central court.,4562.7,USD,2024-02-19,01:54:25,False
2a7bdbe4-87c2-4b20-a552-0c652ddb7025,DE747688972492249529,JRPMGBVS855,DE382425215976361086,KFFYGBHV0PL,Expect budget how city feeling two.,6269.64,USD,2024-02-05,01:45:11,False
512dab02-1a24-4932-b1d6-0c85fb9dab74,DE372272816581437447,SBLMGB90MSM,DE044044365536227162,LIQAGBT4BQK,Hundred look long condition effort whom.,4723.3,USD,2021-04-17,01:32:11,False
2c45173e-134f-48d0-8b80-8bb54e1086f0,DE637588544350672433,JQHMGBQ0D2K,DE233445997430603061,KMWUGB0PLGZ,Pass at future positive.,9619.12,EUR,2023-11-05,11:24:25,False
8e46b5e1-05db-49e6-9681-55c7d94b371d,DE167851328867278443,DEQPGBGWF36,DE945898620007225423,YHHVGB3C7ZS,Low line court computer challenge sure reach.,4582.67,EUR,2020-04-18,08:01:40,False
6fa2e669-8452-4655-a1c3-23d6d21f0766,DE479373626221541508,SSJDGBOSJ79,DE399377297944447184,AXAUGBIEOEG,Number forget our better summer.,7122.7,USD,2021-10-03,01:21:33,False
c62db74a-4b9f-4636-a9b7-192b8cfc57ee,DE711745598787243244,SGACGBK43A5,DE669859044563662982,YRUWGBA0U9D,Still specific for fight visit.,2068.98,USD,2021-04-01,11:44:03,False
8cf15ef2-b7cf-444d-a2f1-16f4fcce54c7,DE693041679933190803,EUWDGBTNV9D,DE288457004727961645,XWWHGB3BAUE,Local age behind.,9895.5,EUR,2024-03-04,15:55:09,False
6e35f7d3-366a-4cb4-8349-d7e93155609a,DE877940839238689387,BGHNGBOI87Y,DE267740402554016418,RCJWGBT67KG,Back join body discuss resource.,3801.25,USD,2023-03-05,12:27:41,False
8fa4816b-d48a-46f6-bca3-3b9488817fbb,DE261501835485395719,RKHFGB2ZXK8,DE942015203984316336,PYNSGB1XWS8,Agreement yard research allow office.,8145.12,EUR,2022-05-01,14:43:14,False
9f66b4bb-21cc-42fe-acf8-94ee48726689,DE433085658814342400,DBYRGBJJUCN,DE671061777447718763,SMZKGBE3RYM,Camera read officer professional meeting develop political.,4331.48,USD,2020-01-29,10:51:51,False
fd3f6374-3289-4b77-bd41-e208b7e4e61b,DE736014061259699493,LHGGGB5YD7P,DE869185736624112749,MZWLGBQETFA,Lose able goal industry hear cup beautiful.,5831.74,USD,2021-04-15,14:28:04,False
c3466585-3581-4fea-a643-e7615c3d61dd,DE433132126668626515,OZTJGBPJBUM,DE261691960106590366,PDYPGBQ9VMH,Black edge six himself have rich water.,3602.55,USD,2022-07-28,16:52:12,False
8fd2559f-d295-4c73-b9eb-b6d09fe3c42d,DE218806919266830712,BAYCGBZ5U1U,DE442636699177092283,UIXOGBJPL6B,Power painting road and charge.,9991.36,USD,2022-06-28,13:42:31,False
71a08d3e-f0f3-409e-84d7-aa3ec715e23b,DE866160816765547832,VIHYGBJ1GCP,DE769889191026365366,UYWOGBDIP34,Challenge stop between.,9246.55,USD,2023-05-26,15:18:02,False
75a7e0ff-b80e-46c4-982e-dbe7ba9b4118,DE125159287068058619,MCCRGB49VH0,DE891454080597377262,YXKDGBK5ZI1,Meet score help artist fast school.,4295.57,EUR,2023-05-28,14:13:48,False
48f901ee-860a-423c-9e61-e169a4caf55c,DE590744750059190231,QXJUGB1ELNB,DE018800454649884803,JPCQGBR13VE,Maintain security big question leg course.,8758.74,USD,2021-11-22,06:11:47,False
d7d517ce-5da2-4f82-8aeb-669a6b331c1d,DE424570538226378325,YUSUGBE0NI4,DE550894521934416400,QKLXGB4ZIX1,Husband ability manage box.,463.88,EUR,2021-05-07,19:00:11,False
92e63904-f6ee-4a94-9e11-b90a483bbe7f,DE829467531530601643,XXRKGBFCACM,DE550894521934416400,GBUSGBEH0FP,Friend manager month section without task dark ten.,240.65,EUR,2022-11-14,22:11:47,False
1dda2a90-3008-4373-812a-59d9ae849f25,DE454365707857935047,CFRIGBLL3QT,DE470485016828089074,XNBGGBBR1Q8,Technology often vote way.,1628.22,EUR,2023-09-04,02:49:33,False
a14d4371-2b72-4b25-85ad-274e8fb0073e,DE009047160535405807,NGWUGBOATK0,DE275177181691028410,FWKRGBBQBM8,Laugh occur material expect phone.,6736.31,USD,2020-07-06,19:34:42,False
9d105288-d195-45d7-b91f-43ab92b5b71b,DE053678331327692380,QJBBGBWAGS7,DE970292645229107727,MOJOGBT1RO0,Education seek he list.,6982.77,USD,2021-11-16,05:06:09,False
35237cbf-a712-4325-a1fb-2705c4e54255,DE466595360619015348,AVDXGBRDHMA,DE151577296027704469,YQKFGBPUH4X,Process world security.,2472.64,EUR,2020-08-21,00:39:47,False
751fb999-60d0-4e9c-981f-565cca458026,DE486589334512888328,OOHNGB2PC0S,DE149200535959400947,ZDDNGBCTPNU,Option today manager month edge.,8022.04,EUR,2020-01-15,16:33:16,False
f170c7d4-fd4e-4d8f-a6c0-2a617ee77139,DE315402574170827742,XJKIGB5D0TK,DE950066353264127853,ZKJVGBTYJ23,Alone military first by bag choice role event.,39.38,EUR,2023-10-15,21:23:54,False
4f3fd13c-25a5-471a-8c05-8fc84618fb07,DE272599118249348854,QXLZGB0F8DK,DE701319495638177808,AEKTGBIAGP9,Bank trial serious message.,8927.31,USD,2022-09-14,08:02:39,False
eb9c9f03-6ec0-4118-88d9-064ade8d74c6,DE376240117645006135,IOOFGBVSYEQ,DE785699393638333355,VYRMGB6IGO2,Water why institution shake people.,3590.66,USD,2020-12-27,08:03:01,False
854e7dd3-bce5-46a2-9127-c7b3860d531b,DE899074277576520302,UPRKGBB6ELF,DE918159602065098975,QSZZGBGPUD8,Individual financial investment benefit no.,2509.42,USD,2022-08-08,03:45:48,False
d206de99-7b94-4446-a8c2-15ab9d2da69e,DE874111191960362453,NZXBGBSU5BN,DE190709861169864161,HMOIGBQ3ZP8,May choice I.,5863.2,EUR,2022-07-01,08:55:20,False
ad92452e-5310-4405-9f35-099e050aa7ee,DE074843437903572882,GDZEGB2GRRH,DE034067646021466403,JOFRGBMTIWK,Factor may line organization part exist.,434.53,USD,2024-03-15,20:49:22,False
80d1e75f-9c6c-49f5-8a89-59254569b54b,DE360538104052720561,QWDCGBVIRLC,DE120537315173476649,AWHGGBJW1JK,Thing serious effect air fire.,268.23,EUR,2023-03-11,14:21:51,False
4ea4ebe0-e561-4276-b7d9-830d5b1de756,DE528632202841488132,DGTSGBSLXIF,DE365653266639883084,ACZHGBP00WB,Act cost less.,8031.09,EUR,2023-09-08,09:05:59,False
ab6ef94e-784a-4114-9c26-260d3e864d7a,DE039003574686734226,XKMYGB8X3A1,DE904540014744983470,AEGMGBSGF25,Fill budget friend serve.,9358.82,USD,2023-10-16,18:23:51,False
f66c0035-481b-4f75-a2ca-fb8e534fecbe,DE531974900176224858,QYWAGB9QGUX,DE721874475210302316,ONZKGBTGRBO,All agree investment political clear.,3556.36,USD,2021-01-20,21:00:12,False
fcc30d3a-c962-4f3e-8e84-5dcd0526927a,DE222524708169951725,ZVRUGB41N9G,DE853898148076778937,BXBQGB0X2T4,Direction man security pay rate enough.,4139.07,EUR,2023-08-18,22:51:13,False
b313fe63-20e1-4f2d-a6bb-7e7f82bd5682,DE547140414525555500,EUSBGB3JULG,DE160768670733754036,KVWIGBRH65A,Fight similar rate edge give process feeling.,449.72,EUR,2023-01-01,08:56:51,False
695db16f-6b8e-4b8c-8c37-394f91cdee2b,DE666573878534985066,RSGKGBO5NXY,DE326171019699537036,OCSCGBK03EZ,Plant back stock partner public right.,9122.91,USD,2020-05-05,23:57:40,False
2a30d42e-5107-45a2-a271-1c2f15aae33f,DE262475824773213443,FZZDGB0Q04C,DE127434078874430761,QODDGBF2XB2,Claim probably onto base speech week research kind.,7886.02,EUR,2020-12-30,06:55:22,False
de713786-e46a-461e-a32d-7a4668d781e7,DE712189615995467608,IVQYGB96DB2,DE505888999936200872,YMWAGBOQCS9,Station total laugh admit.,8081.49,EUR,2023-11-15,08:19:22,False
c68fc91b-1943-4631-a11c-df17ae4ab9d1,DE926150236435901059,OVKCGB6259A,DE275755742260029238,PMNCGBKC4EG,Marriage list think ball.,2770.47,EUR,2022-09-08,08:29:42,False
