transaction_id,submitter_IBAN,submitter_BIC,receiver_IBAN,receiver_BIC,reference,amount,currency,transaction_date,transaction_time,is_suspicious
bffc4526-11af-4ec1-bfa7-828a8d31a845,DE347489780128952113,SLYRGBJFSP8,DE212388006528609380,GIPGGB40SQU,Outside security candidate number lawyer fly in.,5564.92,EUR,2022-07-19,15:00:05,False
e1b1c21f-a145-4ad1-b097-5a9e72fd2292,DE090882280218170771,PITJGBD5R6L,DE293782494386825908,AYKNGBG3V1U,Others culture social make social.,6895.87,EUR,2021-04-16,19:32:52,False
f5a222d4-7390-4302-b535-d06d40a65c09,DE133000567266060376,VWULGBBM1GH,DE043226568698218227,MZEJGB3CCMR,Situation decade agree throughout hour pass.,6040.68,USD,2023-09-10,07:41:16,False
f92dde27-6cb5-4ef8-a3f2-647d3168948d,DE037929564628089103,SQHZGBBOG2L,DE930569554452844009,GJAUGB6732K,Newspaper clear choice loss.,1546.56,USD,2023-04-20,13:39:42,False
9692c91b-7922-47d4-a710-6fc53f5b1040,DE276320722753719784,FIYXGBPVFDM,DE797802355941252773,PZSVGB71R85,Task suffer vote assume live.,8294.26,EUR,2020-12-12,04:55:52,False
a245508c-6bb3-4f03-bd1b-eaa9182fb5ed,DE261922851388461550,BEVFGBE9RTS,DE750376181905420281,CDKJGB95BU9,Animal energy people third fear member laugh.,7038.88,USD,2021-03-31,11:26:54,False
64ee29ca-7d53-4fd2-973b-af958502d2ba,DE626045462872160222,DETWGBNPG3F,DE887812646082265879,LGYBGB028DZ,Local instead ask above base forget red interest.,807.56,EUR,2023-06-02,15:09:09,False
7cac11c3-1b48-4069-b3ad-2dc2cc53e83f,DE985129649355797712,GEGPGBMV4VN,DE697161364142357624,UHGKGBFQSW0,Somebody standard short left.,8219.14,EUR,2021-02-05,01:04:18,False
48952377-b4e3-43e7-a396-c1168d314e12,DE974107407016215375,LRFCGBVNEZB,DE203120808974220223,YWNMGBWJHO6,Begin officer teach public question success draw.,1554.63,USD,2023-11-17,03:09:48,False
229e9ff1-ba02-4566-949e-45b740b8f375,DE210164441464645876,NUKBGBVNSEP,DE306844318327243031,RTSKGBSC4FL,Small late until figure let ball challenge.,7196.92,USD,2022-10-29,08:31:19,False
