transaction_id,submitter_IBAN,submitter_BIC,receiver_IBAN,receiver_BIC,reference,amount,currency,transaction_date,transaction_time,is_suspicious
0abcaf32-e0f5-4c0f-84d1-5ba5db11d293,DE369866548531394145,XPXUGBD1PC0,DE127830168744368870,UWYWGBSONVE,Many believe color difference matter.,7789.2,EUR,2023-12-20,05:59:05,False
f2125276-421b-430a-acf7-a7abe7fb2d58,DE911080474971952776,BYXWGBA4BMH,DE679045957342168633,DFVLGB0OVIO,Another somebody keep politics series question environmental.,1899.56,EUR,2020-07-18,06:50:51,False
c0b18fe3-ae14-4ccb-b499-1cf4ae98ff13,DE216326850915943779,AWFMGBDFQZA,DE197057584047601073,HBYIGB7W73G,Future allow improve.,4016.1,EUR,2022-09-13,04:54:54,False
c2e8cbf9-0682-47c4-a9ae-543f7c61c07b,DE194785616765309533,MTVJGBTO8CU,DE032555114659694985,NFHIGBAOFLO,Could difference capital fine.,2396.59,EUR,2021-12-03,20:31:02,False
682c3ed3-5628-439a-80cd-7cc555ce76ac,DE761178118883481085,HZBVGB4AEAW,DE274532789281786250,KJARGBZW5XG,About force couple seven alone TV.,2282.92,USD,2024-04-07,07:09:51,False
2f7d8860-8135-422f-ae89-3f55dea3e2e9,DE716988494578844295,UGPBGBNQ68J,DE590301834183623299,CXGTGB8W6AZ,Art left respond power.,1340.14,EUR,2020-09-09,14:33:20,False
c54b428a-076d-4075-af63-6396c82ae9c5,DE255788404761526574,ZOLBGBGNUHU,DE245494645229429918,KOGLGB4QIPW,Determine security recent degree toward same above.,3657.62,USD,2020-04-20,18:28:52,False
d669a7ee-df86-48e8-84f8-a612f0000ccc,DE765301386850465140,KEMZGB9W0F8,DE011856854010333849,NFQIGBNSEP9,Road environmental growth last act bill fall.,5407.4,EUR,2022-07-17,15:34:37,False
0028bafb-14e4-45ed-ae3b-1c4645e4d878,DE374223532323876580,XOOZGBB79I7,DE421106135144618122,YEOKGB0KMJ0,Reflect consumer once product believe positive dark.,2211.48,USD,2022-10-04,10:01:41,False
f7dbfa21-0bc9-406e-85c9-77dc7533d9a5,DE764671044138026179,FEDUGBFUNSL,DE982683136697332808,ZYLJGBJL0MH,Spring we let few.,5301.29,EUR,2020-03-09,19:41:44,False
0b02853c-fd37-4c70-92b3-afacb1d0493b,DE798915021758682210,JLZGGBUSQ4E,DE159495918566782310,LUZNGBYPYUG,Ten lose defense across note music.,1992.08,EUR,2022-12-31,02:19:13,False
82f4368b-a159-451b-a487-a4b3b2eb241e,DE095011101077809011,AILLGBAVYOY,DE522395811195574290,WAZCGBEMG6U,Behavior table can ask.,4161.67,USD,2023-12-27,13:03:47,False
377f53be-9e20-4185-85a1-5f6d5ab1b9fe,DE078035268820648884,HELHGBEUTR7,DE153082600786553590,XWKEGBG5LMR,Level environment mother stop.,9781.15,USD,2021-03-03,03:35:37,False
7d1dfc1b-9b89-4b3b-a6de-bc4643a6b24c,DE566359671058200200,HTWCGB6IGLX,DE465973575629779863,PNZKGBVH91K,Once Republican measure process ability family situation.,960.5,USD,2021-01-03,02:03:00,False
b82eed3f-0022-45e9-9189-041e77b4614e,DE312563997996181584,OGDZGBCGJQ2,DE164360554836338647,JGOHGB1VCVS,Think subject us attorney until design American oil.,3382.9,USD,2022-08-04,04:47:06,False
