transaction_id,submitter_IBAN,submitter_BIC,receiver_IBAN,receiver_BIC,reference,amount,currency,transaction_date,transaction_time,is_suspicious
2352be90-a3a5-48a6-b315-768e1ae558e5,DE934961945293333620,ROLTGB0R5UI,DE637798104665807835,ODBWGBIMWXP,We organization which purpose one require improve.,8755.79,USD,2021-05-10,07:55:57,False
24275692-c22d-4b4f-9dee-2a2db00aeea9,DE017897031431063093,KUCNGBCNPWO,DE820931521123356129,JZQEGBAODD5,Place fast nearly stuff maybe politics.,3463.29,EUR,2020-05-25,08:41:51,False
99f22910-ca45-4a0c-9346-df1c14839519,DE064676495787348782,ISZEGBZUC90,DE456096377848595287,DOIIGBFI0GY,Team husband difference authority memory.,3365.6,USD,2024-05-18,07:30:20,False
4c9c9aa3-5372-4dc8-a99e-0f38ec16c127,DE927607403903120176,IBYMGBJ8YUY,DE733235990163312932,XKTAGBMVFK3,Example his market medical guy.,341.83,USD,2024-02-19,14:40:33,False
0efbf930-a512-42a7-aa20-7fbbff171f42,DE380161294843421280,MJJUGBFNR1S,DE519481969075395269,FDKBGBKCUZ1,Sometimes news radio.,1259.24,USD,2020-06-06,06:23:55,False
2d548fd3-d07d-448f-86cc-d31cdb53aaa1,DE287227806783748904,BPIYGB823FZ,DE645178313623606138,LJMRGB79MLI,First full should box field.,1635.14,USD,2023-01-08,04:40:56,False
11c85e20-8ff1-47d3-9990-4f0eb1091e3f,DE804926857734405821,LLMPGBF11X5,DE954647894972624404,LWQNGBJ0SG0,Center heavy really where.,9626.78,USD,2023-06-04,09:08:36,False
aa99e5cd-92fb-48ad-b312-97dd7cee8ab3,DE059414658308673860,TYGUGBN57F4,DE168132960050592194,AZHCGB9AOOC,Give deal these wrong.,1245.78,EUR,2021-10-03,22:28:06,False
6d8d330c-91e7-4835-97a9-07848b5e78de,DE796856636588367606,NCVMGBO34R2,DE107360367986381183,IIFAGBJHRKW,Wide state operation me.,7241.39,EUR,2021-06-03,22:58:50,False
32bf9e09-7a9a-48cb-86b9-c40deca14c65,DE232186287309951852,VCXQGBNP6VB,DE962902137111694562,KJQHGBIGMRA,Class image TV common onto recent.,6660.37,USD,2022-05-08,15:34:25,False
d3a77ae7-29d4-4e89-9801-d71d797462c1,DE464168959360311616,APRRGBSQEEQ,DE469958476537861529,BIPEGBH7YUC,Foot piece civil expert from imagine.,7955.9,USD,2021-10-16,19:25:23,False
ef969835-e669-4a06-a142-d9ec2d770440,DE393955079532185013,TTTBGBUJQ71,DE143437984459148732,BJIFGBX1VM7,Property low team choice away man.,7636.96,EUR,2024-02-11,13:03:28,False
e1a80a76-f3a6-488f-93ab-6952ef7347ce,DE926450564868240631,UIOOGBL0HD8,DE195776872269986325,IDCHGBREJHQ,Television series over career.,2817.72,USD,2020-12-05,18:24:38,False
28ee51a6-8e8c-4b55-b449-18f03e93eb4d,DE743087428484183468,UIHLGBRJTIO,DE558799212130956321,XKLWGBNJGY6,Bed pull part sport marriage.,1070.73,EUR,2023-07-20,05:44:36,False
978d84c7-e842-426f-9ec2-7291074a468c,DE984702985895248398,CDNVGBL9ZFX,DE395210172456654929,WGDEGBRRQYQ,Grow agent majority person while network matter.,8886.18,USD,2021-10-19,20:37:00,False
844c8254-06fb-4fb1-bc9e-60d6e20e4ca2,DE223801954634375514,EIOBGBYHJO5,DE192250965937772481,DAJYGBZSZ24,Ready than hotel less learn.,1545.23,USD,2020-07-03,23:29:53,False
469f14ee-f466-4aaf-a0ce-2a1dcf874389,DE771494861433783798,CHVNGB75BLQ,DE066970784440398243,UKDJGBY1KDR,Growth chance majority must.,2734.28,USD,2022-07-17,09:26:10,False
004b9860-ed1a-4f14-a744-828ddd41e794,DE484198944427600333,AEUOGBIXNZA,DE968110573229177628,UNNYGB9N8YH,Cell majority top.,8550.42,EUR,2024-04-02,00:54:22,False
0ac90f75-d953-4a47-afdc-b31ef504e92f,DE501962554369321525,IYRMGBS8WHB,DE732285404985821458,QDKKGBYXWIN,Beyond hear back choose add concern fish.,4969.15,EUR,2021-06-19,15:29:31,False
69ac0423-2109-4dc4-80f3-763f07e1fefc,DE563267045420217784,PFKDGBVE39G,DE406962473159209495,IEGUGBI9QNO,I around part create own.,1115.66,USD,2020-06-08,08:18:58,False
8d6f08f8-aebb-4a2b-a222-47cbf724f174,DE292301928160487840,QGLXGBOIAW2,DE601126324352308863,CVLDGBH1B2W,Western economy know attack occur.,9959.56,EUR,2022-10-13,01:31:04,False
e8b22702-d0a3-41a9-80eb-a7e29e376245,DE015780986574722205,EUFZGB10CEO,DE124356388280511370,AVTCGB5PNLU,Outside performance rise if.,4908.23,EUR,2023-09-07,10:35:20,False
f6ebb910-5e78-48fa-9905-d7289a241080,DE437885056320643777,TVMCGBQAN8K,DE637466721946286061,SQITGBBZ49T,Hold live training fast interest world alone.,4424.83,EUR,2020-06-18,05:39:30,False
d07dd31b-3571-4f33-b86a-e1e4c01c105e,DE342879931511697161,PUWMGBGMWEV,DE677445698176154317,QKFFGB36C29,Part whole window general key.,6858.75,USD,2021-09-11,17:53:09,False
3d2616b7-4f2b-4440-a8b8-2d7fcee2fdf6,DE668502523852343074,LITSGBRMOEL,DE012418897308340544,KVXUGBL00LB,Specific else third boy senior throughout upon.,6962.32,USD,2021-11-05,04:17:29,False
ab171c7f-9ed7-4acc-ac83-8e1e25311ddc,DE319455799613430973,TZHIGBYI5KX,DE302416786932178718,PSLBGB41YWE,So edge several manage.,8011.71,USD,2020-12-10,00:23:42,False
cc12e3be-80f2-4aac-98ed-6303a3c410d9,DE358953750746489639,JPHMGB3J819,DE383507191596955222,KRDSGBAVD9X,Different analysis dark challenge economic spend Democrat happy.,5130.9,EUR,2023-08-24,10:05:56,False
1fea6005-ca5c-40a5-9168-b3b6de0fd08f,DE616421166849001023,PLVFGBR1W3D,DE898527904350010908,QOCMGB8CBBU,Station single require old candidate catch lead.,7456.74,EUR,2021-12-06,00:53:02,False
85270b62-c5e5-4445-8b07-6b3a92363ff2,DE598872174611522430,GYUKGBJTU9Y,DE785108452943692189,MXUQGBE2N3S,Part just wife race road.,9975.88,USD,2021-05-27,03:10:55,False
52695e3c-0e56-455c-8c7a-7a99f9e88191,DE723315731527732358,RDDCGBIGH4L,DE534464465826304492,RTPCGBB06PO,If heavy perform.,3563.1,USD,2023-08-04,15:40:50,False
c3390b05-fb69-4176-b4a1-f27d1bcdeda4,DE336060838483609554,XVAXGBOC6G6,DE490486947238321351,XQWAGB1VZUQ,Strong night view image society.,2872.79,USD,2021-08-05,20:22:52,False
1be8e58f-9866-4948-a272-68361eb92a96,DE112443057246823208,ZXKHGBU09K0,DE604592708717264846,LMUTGBA1X3Q,Suddenly term power out play whatever.,9164.97,USD,2023-05-06,16:34:51,False
2000fc07-ad92-47a2-95f7-60244c04af7c,DE992596564516386563,SOIDGBKQ31T,DE882192907250960955,SOXFGBA9U6O,Together available opportunity good wonder.,5874.85,EUR,2023-03-10,15:32:44,False
cff1dc9e-da06-461e-bc90-16bf1e83b589,DE085298202610319336,MGBKGBXLZYZ,DE869514282760302151,TADKGBD3TDP,Activity each drug dark.,8629.74,EUR,2022-07-22,00:46:35,False
99c58662-341d-4eac-bdb1-addce54809ea,DE714486343958095597,CDZDGBFG4X0,DE811705269293581744,YGBEGB94PXA,Step prepare whole main government.,7360.67,EUR,2023-08-29,11:01:45,False
5a2d68fd-0a85-46e0-96fc-3e6b5aacb2b3,DE517979203841313593,LVVUGBILMDP,DE951432092428045056,AXWOGBURPML,Here building hard nice kind effort customer.,6273.64,EUR,2022-08-10,15:37:46,False
b7bf70cb-6b4f-4499-93cf-b10b54aae4d0,DE315021704185819692,VAIGGBEPVZW,DE632209654989549643,GVPKGB0669M,Grow black door guess his modern factor movement.,3602.59,EUR,2023-05-05,08:11:40,False
15bf1f00-37c7-4376-8be0-8f8b1fb73ab1,DE408543535117449775,VGUZGB52H7H,DE874018653037227076,FKNVGB9JQE9,Campaign itself statement statement.,2030.44,USD,2021-04-21,13:46:35,False
a0af88ef-b7fd-4eba-9741-048a8d1b036d,DE333682079761030739,PAYTGBCG5L8,DE465494648581861569,IQPBGBYS24D,Right yard hospital positive.,2527.66,USD,2023-06-09,04:43:26,False
db1b11be-57b8-4fef-8c22-aae73a91153a,DE214996929225238081,LOODGBX9ZFN,DE516353460558546151,LQBQGB37ZQ9,Seat natural truth bit meeting senior.,4733.26,EUR,2023-12-28,05:01:28,False
fe718ca9-2fd4-4585-81ba-67d89bbe3e26,DE785479776206169934,JGGKGBZ10X1,DE670269687288665678,JBDUGBYQGOU,Budget book well detail this impact at make.,6516.64,USD,2022-10-01,03:58:06,False
6a57fe71-a305-4006-b855-e654968c5cd1,DE382250974256499665,MJQKGBFGXHA,DE231581176867493237,UMEZGB072RQ,Represent still white black production over too end.,2318.41,USD,2021-08-12,16:58:48,False
13a73bfe-2a91-4287-b130-ab07ad5617fd,DE995852315457737192,YPKRGB27XCM,DE675639244428231402,YMNIGB6QGOX,Long that personal hundred next anything.,6080.15,USD,2021-02-26,14:59:47,False
5afc265d-e8ed-465b-91b0-7011912cf70b,DE473078100042204559,KOQLGBR73HN,DE152061164847167077,QCOMGBW6TVS,Nice pass experience recently benefit increase.,2703.26,EUR,2022-12-26,23:53:38,False
47806120-119a-4d55-89df-d49d15bffe04,DE901227836657125241,BMATGBFVL4I,DE630327331016064052,KVQFGBH3VQU,Wear behind together them never staff.,1280.59,USD,2020-09-01,15:49:02,False
79e2a119-48cb-4d41-9a7b-c6c80ca368e4,DE817697284066773506,VXEZGBJF0I6,DE056880080817354458,DHSYGBR675O,Lead middle recently work begin.,7447.65,EUR,2023-08-23,03:42:29,False
47b53df1-fc3c-4d52-8474-2483b504f31e,DE564491794789727252,KPAXGBPC979,DE262698556569677303,FBIBGB0A59K,Mrs much available say.,7851.47,USD,2024-01-11,22:14:15,False
69ea93ec-c4c8-4b63-96e2-399d2b046627,DE253048997654678438,TGJPGBDAAMV,DE061054285283888908,MHDQGBYEV6M,They may activity boy quickly scene.,4765.71,USD,2020-03-19,04:49:02,False
2229053e-9038-4b20-8854-8c03315f006a,DE370686912451448472,YAMPGB0W21K,DE629284925302495420,ZVKJGBUS937,Become type sort.,1134.45,EUR,2024-01-25,20:24:58,False
