transaction_id,submitter_IBAN,submitter_BIC,receiver_IBAN,receiver_BIC,reference,amount,currency,transaction_date,transaction_time,is_suspicious
5803d100-426f-4f9d-9ac8-f825a571b60d,DE381289821387408122,SSVFGBH1AWO,DE519881021485601265,HVWUGBMQRE1,Wind natural long common leader.,271.99,EUR,2020-02-17,04:32:00,False
1747dbf9-47da-46d4-bf4b-b6c998b6ed25,DE902140951850276789,OMNFGBWRBGG,DE857457264135483110,KZCJGBKKRYQ,Probably different work agree few Mr wide.,2750.35,EUR,2021-08-06,03:55:30,False
7c95dcab-c26e-4441-9e05-a55c29ed04bb,DE598980677510179484,HAFXGBH9RR8,DE401118116377403273,UTNNGBYG1L0,Together law can sure question.,9286.98,EUR,2021-11-14,12:59:13,False
0124a8d8-4e7c-4392-80cc-3bf55fe3a6a3,DE270978619341731047,JCRMGB91T9E,DE303993567814518968,OROGGBRYQP9,Think fund pick recognize.,3041.25,EUR,2020-07-30,22:50:04,False
024bee68-9783-4508-a598-51a4a557adda,DE497178827780592967,LTCGGB3BD8N,DE465966055146462199,DECEGB9J7ES,Business offer hold bag present him themselves.,1907.25,USD,2023-01-06,21:59:00,False
a1cc91eb-7708-458c-9a82-ec5c2569f4ec,DE605936707432664629,JFVIGBFF2AJ,DE563413937461691677,LRHIGB8Q0RY,Up light economy.,5659.16,USD,2021-12-21,12:42:10,False
575a5b50-f3e6-45e1-896a-bd1ecd2e4252,DE761178118883481085,AMWXGBOHIE4,DE170340596715069926,PMPLGB6VXXD,Series loss way rise accept statement.,9344.92,EUR,2020-12-10,05:18:19,False
9b3d302e-c180-4cc1-9350-2b55d7b4922a,DE858819520873335131,ADMGGBBR02Q,DE804835865267412089,YXDKGBE9QE1,Pull explain thing easy our consumer.,1701.93,USD,2022-12-20,00:02:31,False
8beb7e89-2adf-4fde-a6bd-a0a220d3a275,DE157859585986573973,OVBTGB4CYJW,DE433690718000820967,GOYYGBV17O8,Star day card list under.,1549.63,EUR,2020-12-08,00:12:02,False
d4e59e25-8574-40af-8672-a1af1efcd299,DE282362256398669896,IWXTGBN395J,DE103712250502894017,VQMKGBQI9DS,Push later drop goal box information.,8111.82,EUR,2022-12-07,12:17:20,False
