transaction_id,submitter_IBAN,submitter_BIC,receiver_IBAN,receiver_BIC,reference,amount,currency,transaction_date,transaction_time,is_suspicious
12930a05-f58c-497e-9649-2c7570571866,DE124247978549720617,PZYGGBX4KEG,DE274934447419260548,OAGGGBSJPX7,Million bit until wind middle Democrat face.,6172.39,EUR,2023-03-31,12:50:44,False
837ae68e-7b1e-4a75-9ca9-3667b083cd07,DE549387971796999371,JGSRGB9PZMS,DE428447861320414636,QRSVGBNT3J3,Else some stop bar.,806.21,EUR,2021-06-30,11:49:21,False
f087fd0b-9f8f-436e-bef5-07a65cb2a8c2,DE040364222808041533,ODDBGBEG44I,DE301081058792594059,YBTGGB68WV2,Order the marriage.,9580.84,EUR,2022-01-24,22:10:46,False
7356dd4b-b38f-43e8-8ba4-06e350b920c4,DE048508682877265473,CIUOGBZXR94,DE624080719719065929,SXKXGBBIM3N,Source cover chair message.,8463.2,USD,2020-11-03,08:12:09,False
28a6090b-7b59-4361-ad6c-4e633f48101f,DE035632863515599697,IJZIGBIVIET,DE330627068503129474,LTKGGB44M2G,Important along cup.,7870.79,USD,2022-10-25,14:25:27,False
57fc8192-d497-4784-8cbb-bc293fdc43e5,DE960389523657179413,XJKKGBSHN7T,DE052987630232948666,XRYGGBNMA44,Give address hair girl.,7936.28,EUR,2022-06-25,18:43:28,False
eed30f60-ad5c-4987-a0ac-1d2b5638257e,DE591639139655606856,KSZJGBX6A9G,DE847356644213426166,VRYWGBI54O7,Stage think not majority.,1946.19,EUR,2021-11-15,21:08:09,False
a234f4d5-90c2-460c-af49-7118e8c475c4,DE684262359515445369,CQCTGBLXHFP,DE507708957861850940,DSHUGB97FAW,Together seek rest TV.,2954.59,EUR,2021-10-06,17:25:37,False
30357190-706c-4103-842f-8c45f12dff39,DE678972802606469890,SKMOGBJLP6P,DE364875601366870825,UMNVGB5AQF2,Close stay friend.,4552.05,EUR,2022-06-13,05:31:59,False
81343df2-d29b-4e7b-9fc4-57cd99ce7394,DE536918642175265089,MXJSGBVH8S1,DE049767585013320678,ZMCAGBFUFWK,Fact trade prepare way quite standard fire.,6865.15,EUR,2020-01-15,21:16:37,False
9adca8d3-9fbf-4533-9701-375a992c7258,DE038550481219425812,VGSTGBQBPIH,DE504278156737893374,WPUVGBZY2KI,Usually every least consider.,4062.29,EUR,2023-03-21,05:46:47,False
0a73771b-d1f1-4e5a-947c-ac2dd4e5878d,DE087805797872378200,KGCPGB6VZTP,DE350413198751904012,BJTJGB2QM9O,Decide interest avoid fall.,4238.54,EUR,2022-07-18,07:18:18,False
f5070cc3-5c5c-4110-9ca8-7cc8d54d6f22,DE792852882765245956,QMRDGBBH4RN,DE269687809494734825,JQFCGB9I85A,Could single student kid region.,263.28,USD,2021-11-03,17:29:59,False
9d89cbc9-8a01-4fc2-aec6-532c7fcf31c8,DE103689231395561192,TQRDGBN0WUD,DE294476525703108027,HZMFGBMJCZX,Never fast measure Democrat.,7499.69,EUR,2022-03-26,22:15:13,False
1beab02f-ab5f-47b4-bbce-3db09a95ac6a,DE527900460909975749,RGFPGBKXLER,DE854689274222342630,CQWZGBH1S7Q,Cold consumer it crime need consumer.,2102.19,EUR,2020-07-26,10:08:41,False
2acb9638-05f7-4de1-af34-7c914e88df39,DE861428925457791635,SSUEGBVYMIN,DE370311885563807676,MWGGGB74BLY,Attorney raise direction.,6340.75,USD,2020-05-29,21:59:19,False
770c4fc7-dc0b-4be5-93bf-89386e143ce6,DE603572576137581009,ZPQYGBA95Q9,DE906742983426450474,OJQJGBWYQU3,Economy front goal base wind.,7363.07,USD,2024-04-04,13:24:56,False
5275b6ac-8d13-48f7-ac0e-4a4858d4dae2,DE865707418265126813,NDNFGB7A0EU,DE739328931315853431,NFAQGBGN870,Line mind country hold control finish major.,8163.04,EUR,2020-07-09,07:57:25,False
cc3ead9b-6e43-4773-95ea-cc7f875adeba,DE015719813735783952,LLSMGBULJZ5,DE537279853566854684,BRUFGBEUKZB,Trouble particularly gas good.,7346.31,USD,2024-04-21,13:49:59,False
a56be7f3-e9cd-4bf4-ac35-1e18078043cc,DE211078158909075109,YSWJGB6EY4P,DE290974913902304832,FNWGGB6R44V,Happy chair drive enjoy worker baby.,585.75,USD,2021-02-14,18:10:56,False
8397b738-1c49-432d-9f01-dcb92d5b24ea,DE664170256579886320,LKAXGB66Z7B,DE765509474082265646,SYLIGBQW7PA,Current brother interview record could international moment.,6128.66,USD,2024-03-14,00:24:14,False
277d876b-0607-4a50-a3dd-50bab0538ca3,DE675953611198827647,SKRHGBHD751,DE803468076180398193,UIXDGBPR04I,Food outside happen protect herself boy wait themselves.,2371.4,EUR,2021-01-15,14:26:20,False
565f5a3f-bcc8-40e0-aa25-ec81147ffedf,DE598023378259228965,NQQLGBQSJQZ,DE349116905597566129,VMGGGBNJ021,Program then right hour ahead daughter friend.,5771.58,USD,2022-06-04,07:12:12,False
f7d77a56-788e-4ada-881f-769717ee2ab2,DE763566798687480247,CTGUGBQHWOJ,DE663898928088184286,NMIPGB4B0DF,Significant may civil only then.,6551.92,EUR,2022-03-22,17:51:54,False
5bee2f2c-7c9c-4235-bb77-6c2572816a25,DE318419185240399580,KAAXGBV0RQK,DE216203390796531966,GGOJGBLW6IA,Man score car stay outside.,4036.1,USD,2020-12-11,00:01:02,False
466c512c-0a06-4915-adc2-77762ad99ab2,DE185412086939120429,HRDTGBMV35O,DE578431167270466817,QVVFGB256X4,Between fight public blue keep face.,1807.46,EUR,2023-03-12,23:23:33,False
59b68846-782d-41c1-ba4c-43321accb255,DE452064197081873114,VRSMGBXFKBD,DE844725356711440230,WSVPGBJFW40,Most size very woman tonight possible represent arrive.,6373.06,USD,2022-07-31,04:29:46,False
8bac8bca-4e19-445a-b0a8-42ddf155c035,DE808282531822846191,LZYUGBMYSWZ,DE589104295420352620,STZTGB1MFII,Hot Democrat down push choice rock.,7533.5,EUR,2021-10-11,02:41:12,False
af4902ee-e125-4645-ab1d-4f6efc1163a3,DE143634524271738910,KKOAGB35HJR,DE868402042233656354,XXNMGBXEBIE,Represent only sort.,9880.69,EUR,2024-03-05,09:22:03,False
d7d423bc-705a-49cf-a6e7-a77a320b6cad,DE683622879060739759,KCDPGB460BO,DE704709246685356646,RUFAGB7ML6U,Article imagine fact significant.,2059.44,EUR,2021-09-28,05:01:37,False
da93def7-f6fa-409c-ab7d-4667e8256ee6,DE189241205650789758,YGOEGBBCXRR,DE001382264663908719,ENOKGBS9GOD,Would still most.,5721.9,EUR,2023-02-01,05:09:11,False
2d8afc0d-8edf-415c-af51-280a4b60ce4c,DE626642852709376806,YAJNGBGWC1A,DE347533419739618652,GWRJGBMVXGV,Forget continue ability party employee turn.,3241.53,USD,2020-02-04,22:14:42,False
ebb72efd-43f6-4717-baaa-4a372ae9e0c3,DE864008371583643823,ECEIGBW9AR5,DE706212563292834921,IYSVGB8LHAC,Population response music suffer allow will.,8978.76,USD,2023-04-17,11:25:48,False
bf742252-23ea-4c3f-abd5-866ec11303e6,DE018643772225423175,GANBGBYNXC7,DE070412156998298982,SJDPGBGHCLY,Address fire us leg fear after bed firm.,1683.71,EUR,2024-01-01,16:05:00,False
45b9e631-5d1c-4245-9acb-dacd661cf21e,DE950897346363389307,QBBSGBDQMJ2,DE340210302800279646,IEILGBU8JAB,Fish reflect catch service money our.,1132.58,USD,2022-10-04,15:42:58,False
4d5a3a29-0c78-478e-91a7-489f93e4acd3,DE229868550909608554,SXLCGB01ZAZ,DE686258482025825608,MKDTGBCDT99,Spend mother Democrat hit pay.,4514.01,USD,2022-08-10,03:00:34,False
d70bf257-034c-496c-bdb2-42bd52c9b2c7,DE147656781974850709,RXIAGB2A5FB,DE654833163363026489,ANLJGBXI8PJ,Foot material last create six.,54.92,USD,2023-10-02,22:12:38,False
d3beed5a-08f3-422e-805d-8757714cd0ed,DE061007528968106833,LPCCGBYBUA1,DE750713719622407857,EOFEGBPNFD9,Check after technology why really real value.,3367.6,USD,2022-06-23,18:58:01,False
46942f76-944c-4cba-bf91-558d662d6960,DE607774291462019824,SAOBGBWMZT6,DE063343925155641221,SCSHGBGDUE9,Make side each occur appear often.,5412.4,USD,2024-04-23,07:56:35,False
7bfd0de9-7ab7-41b8-8cce-912ce3282a9c,DE597191290300144332,TJJWGBEXBCY,DE624455844080258074,TOMXGBE73YY,Box anyone bill good indicate ok road.,7467.67,USD,2021-02-08,17:32:33,False
b4cc0bd2-4c5d-4f1b-a6a4-1cccee03ee3c,DE834942288745018911,RRGAGBOP2OH,DE385922286690656927,BHTNGBIGHMM,Outside condition black life rest travel.,4887.71,USD,2023-12-04,21:08:39,False
eb98f706-fdb4-44b3-b585-4da112efc21f,DE868704506115086679,PEQAGBVQVA1,DE767113266518825443,UITEGBR7J6F,Movement today skill mission myself receive only.,5649.96,USD,2022-08-04,09:06:21,False
1782ab49-72f2-4ff8-9fae-8b1eb812e496,DE600805485007727664,CBUPGBIC5UT,DE175076585664428988,GBLJGBIPYZT,Whole opportunity camera know he sing.,2582.1,EUR,2023-01-03,19:26:46,False
081ba1ee-7831-4733-b1bf-db3ec628ee02,DE509905202263023135,MPTEGBVP3VS,DE413393102594151873,JLIMGB5GBT3,Maintain moment professor doctor degree lawyer.,8445.3,EUR,2022-04-12,07:44:57,False
bd6e27c9-61f8-4974-ba6a-c6659b285243,DE300944407971588092,CTHBGBKTTPB,DE798980172095666462,RTWTGBX3RLA,Tell president air minute.,8313.57,EUR,2024-01-03,07:40:55,False
695f873c-83a0-4fec-bc3c-48eb6366e8c3,DE007966776721263403,JEUPGB86Y0Y,DE713044261238320582,IKADGBSIDFG,Even road community own film vote morning.,6368.27,USD,2020-04-16,17:55:29,False
4830dee6-a84f-4745-8d53-8908ab5c0629,DE768445172407046363,NOMPGBZAGFS,DE668369380019233560,KAKGGB8IAAG,Impact significant lead develop put form cup.,9968.3,USD,2020-03-14,04:24:16,False
97bb67b3-0377-436f-a473-f3947a594a3b,DE671278308721979629,EJNKGBB7ZRU,DE738580455602444361,LWOWGBM7PK2,Write final thank debate return.,291.03,EUR,2022-05-13,05:10:51,False
bf44d437-7f85-4d7a-b0d1-883301316ac4,DE141626690132482653,QEFOGBAX7Q1,DE665957725367276690,LPOHGBWU60J,Direction machine main not point plan.,8227.38,USD,2023-08-13,06:59:20,False
ffbf7bc6-7d53-44d2-aea5-507e06f404b8,DE803957242162359527,GUEJGB6CUOW,DE321867128075533486,ZPIRGBYTPUS,Head leave summer turn market these game them.,541.47,EUR,2021-12-10,23:58:25,False
5c0355b4-4a5f-433a-bb6b-7c7b54b10e56,DE475432486008381876,XZYPGB54P1O,DE886813586753689227,ONTJGBIR5UW,Music certain year east.,6802.03,EUR,2021-06-27,23:23:14,False
c60823aa-6c1f-43cd-a0eb-5509a605e53d,DE756961678250870597,IOYBGBKH1SI,DE298120621799157777,CGMZGBV5H6C,Town surface show seek.,6562.75,USD,2022-04-25,13:09:23,False
68f9c8d0-0850-4526-9f6d-2f1529fb1ac3,DE984907175814735335,UVHMGBL0KAO,DE326599916239537097,KHTXGBZIYWM,Wrong debate reach production movement person.,7268.36,EUR,2023-12-12,14:08:05,False
5a3261a9-b74b-4868-93c2-0b0a9dc21f8f,DE085621121661440221,AEMDGBFN7Y4,DE837614789754208112,MEYLGB1LXOC,Chance inside still practice accept sort protect.,3043.86,EUR,2020-05-14,00:20:54,False
d36262bf-a6a9-4b33-aa3b-a42eaff688f4,DE770084749947966338,HZLAGBRF62J,DE098231031057566486,XZIOGB423H1,Southern group whatever law.,9763.64,USD,2023-07-17,00:43:10,False
4d7615e1-eb2d-4eb1-a5cb-3429e417baad,DE809235593726925521,VNFWGBQXFZ3,DE171162379192354159,VLPQGBQ3BV4,Story choose determine tend throughout financial between do.,5021.09,USD,2024-04-19,07:43:56,False
9bb8014f-c074-4e7c-adb6-5827492c087b,DE657743611384153180,TJXJGBSSH0L,DE813216287453317170,HEFXGBIJ26S,Officer it change instead all.,6512.18,USD,2023-09-24,19:51:37,False
c1b80704-d7e9-4c22-b916-34bf851dc7d0,DE009057462545437052,LWBQGBR0Y6G,DE206432105803863516,IPIXGBVHEQX,Late lose protect shoulder.,4135.64,EUR,2022-12-10,23:37:36,False
28819994-c5bb-452c-baed-b69734e4a291,DE790837768045527370,CFHSGBK3XVX,DE833706603620176017,NVOQGBSFH0L,Important fire right notice.,77.35,USD,2020-09-21,10:10:15,False
3ab4910b-64b1-44ca-a309-316407272755,DE797607197429887656,MHREGB7X1ZM,DE676545748540305294,LWSIGBTMLVO,President pick throw.,7947.11,EUR,2023-04-15,20:45:02,False
f5495656-26da-4b16-8a5d-f72d966d0dd3,DE322175004736545895,FZNTGB6W7R9,DE630327331016064052,GKIDGBANXE5,Than upon few.,2558.56,EUR,2020-05-08,17:06:28,False
d7aa3238-72a9-4f33-9736-4ee5df4a12cf,DE766276421763698904,AWMQGB0ULCR,DE330312001259127812,IDPEGBY5W3P,List least accept upon single budget.,5755.55,EUR,2024-04-06,14:30:50,False
ae2dc3c5-f455-4526-b3f0-c16709365eac,DE924115989619834282,RUUPGBC11VK,DE064709909279593848,GMWYGBDTULX,Son well this news same.,6217.22,EUR,2020-06-01,07:02:00,False
12ad5734-abe6-4eef-9b84-8900560a8b9e,DE810427123920306700,WOVBGBTSXCA,DE730072483976819382,KTUEGBPWBQG,Floor image line and cost.,6485.06,EUR,2020-03-18,04:03:44,False
8fad73bb-9af9-409a-9ee0-2e6388b66cd3,DE534654895375228837,BPHZGBNQA4N,DE872622548942681201,QUREGBN5TGY,Weight expert month police behind individual through phone.,5729.04,USD,2023-01-04,01:51:04,False
01dee9e4-f4a1-4abe-9a15-a85c0cf3bb0d,DE629749272960765763,TDVOGBR5JN8,DE644413649816996984,UIBAGBU3T3L,Unit her answer case director these police beautiful.,7412.88,USD,2021-05-21,03:25:52,False
5f3247f8-ba69-413d-9331-16d541f3d63d,DE359566195920939110,SUABGBLLCLF,DE669636592368171555,TQLEGBREY5P,Call cold money.,4052.56,EUR,2023-06-29,05:33:01,False
2e042d54-b5a2-416f-9cce-7b86bc40d9b3,DE066340831868930441,XCKWGB8LQQS,DE080736977934809392,EVMVGBNDYCQ,Art money but only.,8451.61,USD,2024-02-28,09:11:37,False
b3b8bf9a-5788-49f1-a61b-c4457a224b7f,DE365027741097308261,UCNWGBMW36U,DE020164776773106502,TIZYGBDIH59,Option thing compare rule sea team.,9502.84,EUR,2021-05-02,12:55:00,False
bf86a606-68a7-4253-a40f-b96099ac3ffe,DE130691686781837064,SPUPGBDTR0Q,DE676057450575427752,APKHGB3PLGV,Offer professor kid owner serious.,3846.68,EUR,2023-11-23,13:55:07,False
6e85a38e-f0f9-45c9-97db-4b73efe9feb3,DE811859461806476181,TDPKGBL1J8A,DE112942585065538390,DUDUGBAKNCO,Raise pull place decade.,5230.41,USD,2020-03-12,23:01:15,False
52634945-4953-4b31-8f18-c09a8be57f8a,DE338506989261559467,NXCZGB1A65E,DE853800981594065687,LDZOGBEX65B,How popular memory resource campaign.,9959.52,EUR,2020-04-21,16:53:40,False
62dc26d6-0801-4d6c-853f-9dff8dc668ce,DE333682079761030739,MQFIGBXGPL5,DE444729451608642764,ZEFOGBCVVAM,Certain final hair age.,7221.48,EUR,2022-12-16,04:29:08,False
6ae43a29-9d9b-4196-82f5-3f180a2f4954,DE805846243572774688,KDAUGBWBL83,DE172095769585180295,VSRKGB00H8K,Blue power trial here station agreement.,3574.28,EUR,2020-04-16,11:19:52,False
eaf7e716-6635-45a9-a7dc-7321a9dc2573,DE779230240646481113,EGSNGBLZVRW,DE429139320375951927,JNACGBGK3ED,Consider actually doctor just part who.,5586.28,EUR,2023-10-29,19:39:49,False
6ea30ab8-cea6-4dac-880e-91a3e704ad29,DE511788309905013252,AUWFGBF2NUU,DE768619556234598979,MDGTGBNC3PG,Director decade thought minute must list.,9557.09,EUR,2021-07-19,19:47:17,False
