transaction_id,submitter_IBAN,submitter_BIC,receiver_IBAN,receiver_BIC,reference,amount,currency,transaction_date,transaction_time,is_suspicious
ef0c0384-4072-4635-bdc1-3f4ee1520a89,DE089132819281629519,HDRSGBZNNC0,DE792510237356693056,YKYMGBFNMSR,Herself research rate color safe age.,5518.9,USD,2024-05-07,07:14:12,False
953e8f56-d625-4636-a17d-25c787a078e6,DE587276344050480754,EDFJGB4MB17,DE626462214983544496,XIHUGBPOEIO,Main husband become think.,4523.53,EUR,2021-05-09,18:32:26,False
4adf2d32-f70e-4a2e-a648-3bff3c74f0ac,DE786546144425976575,ANUBGB8DQ1I,DE481040422191515346,ELFEGB14YEW,Particularly father enjoy else worry information.,6106.94,USD,2021-07-19,02:26:33,False
519a788f-bb27-4d79-b994-a3faded907ea,DE797452041291809270,HJCOGBRS2KP,DE680764173851813381,NJPDGBG0MNK,Environmental cause threat Congress Congress.,3856.55,EUR,2020-09-15,10:44:13,False
d940696b-2ebf-4542-affb-c354d87f4fa7,DE354876754188202474,ZZNJGBVT32L,DE157499767367716282,CXSEGB3VENM,Realize maybe author my whole.,452.69,EUR,2021-08-16,11:11:07,False
ccaf3891-85ad-4c91-8b45-a288b0232c33,DE166175898223161268,LJVDGBUNN1Z,DE380295773964203558,VWUHGBC21Z6,Effect PM agree three.,3240.43,EUR,2020-08-08,20:29:18,False
c63271d6-ec73-4cc5-b156-cc9684b2a1d1,DE882104362181190642,FWQRGB26C60,DE380467139580141886,IERTGB381RX,Defense dark yet high interview.,6887.08,EUR,2023-07-27,13:27:40,False
24513d49-aeec-4588-9621-65ab588db884,DE543571630914989319,MZRXGBEG3PE,DE575116466581339943,FIQRGBSVY10,Door draw through him serve take piece season.,4373.71,USD,2023-11-11,02:11:09,False
f0f68524-6ba5-41cd-9026-84d5cbda1e0f,DE717618023027552117,RZISGBHMN9O,DE668907836377833666,GEHGGB5K826,Network play side pick worker amount.,8228.58,USD,2023-03-28,10:40:36,False
53ac2787-e0b9-4230-af26-659247f62c4c,DE520192497353298000,KYRNGBDNPTK,DE831298001807444292,MDHPGB8ZM9P,Race during big here full.,1757.21,USD,2021-05-19,20:08:01,False
4fc0e01c-ae9e-4b58-bd2a-fd4ed7089ba7,DE215314047202625063,CKCEGBYS4O9,DE800546878194501080,YPLCGBBC7YC,Woman politics mind talk guess world from.,4322.62,EUR,2020-11-05,07:39:25,False
2196599c-966d-4ab4-a82b-571dc08f7f3a,DE941692360164275752,QOYQGBWY4ZV,DE396228363637584519,UMDSGBGYDZ1,Tree star city body.,1658.9,USD,2023-11-10,00:04:27,False
a0aa5a5a-3103-42ea-8122-a9453bc146c7,DE893862968260708716,MTDAGBABX8P,DE815877838622802301,QJEYGB6ZHQ2,Treat free maintain newspaper onto office.,8608.57,USD,2020-01-24,17:58:33,False
c067b21e-892b-44be-8014-cdc1573a7809,DE162621922269466712,VDPBGBEJH4C,DE824845478102925254,NUWRGBSWHLP,Act upon like key modern wonder look two.,2283.38,USD,2021-08-16,17:09:31,False
3159b415-2b62-478d-b359-420d8baef7d2,DE583824782103970940,ITOWGB3TKV6,DE395444639747482578,FICWGBZ3SWN,Read baby once short crime.,8819.87,EUR,2020-01-21,06:03:32,False
14b6b819-efea-4a9d-81c3-414005b53ee1,DE064214455061685385,NQJUGBY7ATX,DE800289320869866220,XICXGBU5LWF,Against financial factor difficult what.,18.6,EUR,2020-08-13,19:57:23,False
059f919c-bbdc-40d3-a48f-acf66cb35812,DE984765395705576500,BEBSGBJO1UC,DE332276037259691173,MCMKGB3VPD0,Technology themselves attack both.,2419.71,EUR,2024-03-05,23:18:37,False
8892aa09-45ce-4e8b-9131-a6240b63bbb4,DE301723118796245168,TAUKGBF8OVI,DE543698948528202826,WQVLGBFJTOT,Although central cost lay fight.,5652.29,EUR,2020-12-13,12:11:50,False
0bf99e76-9dcc-4163-9d52-385e9f8c41d8,DE106075481181855375,CHWTGBKTR4D,DE577344148689716513,FHYVGBWZO51,Behind free reduce prepare show improve.,5905.09,USD,2022-11-22,09:13:13,False
a694c385-c516-4dfd-8ac5-5029218187c2,DE069547769005156129,DTTFGB75IAB,DE044476515795838437,WVIVGBCR2OI,American party individual customer way short measure religious.,7489.84,USD,2023-11-29,05:22:52,False
a7ca6371-324e-4d92-b027-409bde366f96,DE555371590601804868,TTUWGB0CU31,DE363718341463585667,XKGUGBQJMR5,Seem unit or dog upon difficult yet draw.,6326.05,EUR,2024-04-06,21:16:02,False
0901ff59-370e-4a71-9ebc-2992a489416e,DE762986828604216589,VFUWGB0AKFB,DE143198554146780709,UAUPGBMAWBS,Suffer life share wrong.,8014.76,EUR,2022-05-09,08:48:53,False
c7a87dd8-1dbd-4321-9afa-310c7ada42e3,DE346524214306475547,GXVCGBM9CKY,DE556467002514871184,EYNWGBCG32T,Bag anyone executive race get.,8895.96,USD,2023-08-19,19:16:13,False
adff5198-b106-4bb2-a496-cec37a5d7eb5,DE546122738505185860,MMPUGBGZ292,DE924007038159461146,CXNWGBGBNB6,Return reality page energy study.,3136.41,USD,2021-06-04,14:59:56,False
433b6eca-4faa-45ce-a47c-96bd890f476e,DE004534687129569545,FJORGBF8MJV,DE033659320075094235,PPGYGBTUX73,President contain plant let three plan suggest once.,5008.9,USD,2022-11-17,06:28:50,False
abd19aaa-f11d-49a5-b17e-4d82fe395899,DE573407215570133193,IYPPGBNCOPO,DE388616048929997031,VEIQGBLAHG4,Agent executive bag million discuss few.,3697.82,USD,2022-05-30,02:57:15,False
d814b461-b7fe-4c22-bd1e-9b8feb9a2884,DE504768619235731838,TCSQGBMDLXY,DE437866123771055867,TBVZGBDNY72,Lay century stop before boy force try.,4728.53,EUR,2022-01-13,17:05:41,False
a70a646e-6f10-43a8-a293-1eb8f793332a,DE131964581392284001,KRZUGBITCOQ,DE087621470587359848,ZXHOGB4YTGL,If claim see film tough model participant.,4541.69,EUR,2020-12-10,22:20:57,False
e848084a-a695-4e89-a09d-f6921bf4d8e5,DE509827273808561669,SDZMGBKHY1Y,DE302667070403496895,PZYLGBIPXGH,Kitchen today this friend visit executive do possible.,7773.08,EUR,2022-08-31,02:57:04,False
0433741d-b6cf-466e-bf34-dd21e52427c4,DE897096189494031363,QKHVGBZIEBH,DE480643982528176232,FXPSGB7V0Q5,And task first simply.,3333.93,EUR,2021-11-14,09:01:40,False
ee60c5cc-8b32-4e0c-aea8-ad0d5cc11352,DE633735844803652019,PFRCGBJYZ4I,DE258584803683340508,MCKYGBKBZHV,Mention attack hand blood own soldier tax.,3583.6,EUR,2022-01-17,11:40:52,False
ebe9ad87-d3b6-488c-bec0-82e18e137994,DE162621922269466712,TITHGBZSQFI,DE889915084119035781,IJIGGBEHNH6,Protect manage art get shoulder strong.,7135.42,EUR,2021-02-24,17:57:34,False
bc63b34f-ec97-4faf-90a8-774852a3d9bd,DE369122496326769121,JUFWGBK1C9V,DE383313404369898077,LBQUGB27RY8,Training former case respond option put how.,6321.74,USD,2020-10-30,09:18:26,False
450772a7-be5c-41d6-a860-7cb951ee1a19,DE377375067403895424,LYMTGBTNQXG,DE416211551694357811,UZTMGBMLY4O,Truth old arrive member debate.,351.29,USD,2022-05-30,10:35:24,False
9642b5b5-b52c-4908-beaa-502e7cef39d1,DE823302741110783947,MEJQGBJ25EA,DE851346059584452609,AMPQGB21ATJ,Dinner year movie drug catch should father read.,710.38,EUR,2022-03-21,06:01:52,False
0b0add62-9f34-4d49-8fea-91633b5ba355,DE111488305008980811,KYICGBDZD5A,DE309282700886641725,WAKQGB3U48N,Policy game win child new plant.,810.32,USD,2021-10-24,09:17:52,False
8056ae2e-3893-4ac6-876e-9edb68e3390d,DE953050467872632785,SNWCGBY9SG5,DE490533976667623685,MUVKGBSX55X,Second together part support.,2405.07,EUR,2020-06-05,04:28:06,False
14789589-a4b8-40b2-8d5f-0ecce1f95465,DE734009987339779589,GLTZGB7C5PZ,DE134184679709096579,DATNGB4NWNY,Nice seven guess effect option approach space store.,9387.4,EUR,2021-07-23,20:16:58,False
2e283ab6-67a3-48f9-98f1-a031eea76f5e,DE257069686594603719,ZRAXGB451KZ,DE397808017614635696,DPWRGBTVRGP,Tell likely because blue executive.,3602.01,EUR,2022-10-17,08:12:57,False
a60a2ac2-0fe7-4192-a3a0-275250b4f309,DE999219284888540591,AKAEGBOKR9A,DE983052448058773281,SUTWGBYVLS1,Allow area improve yourself.,7570.85,USD,2024-04-28,09:17:01,False
9e504aa0-cd9e-4ad1-b93f-b6b12d87913f,DE004538640381108475,VJNNGBT7V4C,DE200695068374943231,MWMPGBYEDMX,Relationship exist but dinner create never.,5915.54,EUR,2021-04-25,23:26:12,False
c43baccc-4a4c-408f-936d-762d36679da0,DE047930194784393307,KHUMGB60I33,DE725479165774006867,OJLKGBHWETG,Record hope quite education.,4747.99,USD,2021-01-15,02:06:23,False
040e8af8-99c7-4b0f-b1c8-fcd8184134ea,DE907554289972585125,FROTGBX6Y2N,DE794795872017210598,LUTGGBKMTPG,Take north manager article itself.,1727.61,USD,2021-06-30,17:08:44,False
1084bb19-cc3f-4ffe-8918-c9ad4ffaf676,DE673619419518519567,SXDAGBKS40X,DE908842122460339461,XWTFGBYJAFK,Wife thought board imagine economy wife nothing.,4378.11,USD,2022-11-03,13:28:26,False
dc6daf21-7cc0-4f7d-abdf-686bf704d6f3,DE404963381801217852,QCJAGBGMCWE,DE359302960132623705,IPWDGBIUSX8,Third whose question listen economic lay.,2302.2,USD,2021-02-05,15:44:47,False
5f3b3ab8-bf15-49ef-9588-5780d81634cb,DE155906810870772179,RCCWGBK1ORE,DE284675899453538069,OJHBGBLK7FL,Be similar lot church beat high.,8273.12,EUR,2022-05-06,02:12:31,False
eba6aacd-fc3b-4a29-92ce-c53d7e829a5b,DE873458569969154327,OAEWGB62GGX,DE026193766196954907,YAAMGB20RIC,Range situation forget hot prepare view.,213.72,EUR,2020-04-19,05:46:53,False
eb6ee51b-5cd1-41ce-85be-0ec7d9a80740,DE809900449273385145,AZHVGB0D0QE,DE738097419704301424,FVFPGBRE46F,Enough child might us half century.,8243.42,USD,2020-05-17,20:05:17,False
26800d98-e1d5-43c9-91a4-5155eb56cb1c,DE438051444899610719,PFRMGBMB5M1,DE955059932790765803,JJFBGBV1214,Once action choice artist.,849.55,USD,2023-09-08,08:06:59,False
585671db-aa8b-4030-b0ab-2e955e0fbf8c,DE971518183356886775,TFMQGB5E390,DE331375512339262653,FYMPGBWKWNI,Line drug summer parent tax.,8206.23,USD,2020-03-10,13:00:11,False
f7d4571b-04c0-4525-97c1-0c8e0d2db6fa,DE217820256055849860,WPIIGBLMEK8,DE444265049235964428,LOTJGBV03NS,Long power customer course focus agreement.,6013.18,EUR,2021-03-01,11:15:42,False
4a41a468-a695-4fcd-aa1a-505c6adfecfb,DE281229381091721578,DAAKGBMQT06,DE055417307688760531,EJZOGBNZ3CO,Billion administration member same star agency cut.,7305.25,EUR,2022-12-03,14:42:40,False
1eb46dc7-8f3d-45e6-a1f9-48e8498aaa47,DE488291054865675907,IDYRGBPOVOD,DE304945785819986189,XMDNGBDTJ62,Top manage three save worry statement after.,8778.05,USD,2022-09-26,23:16:20,False
e55732c6-52ff-4d7c-9ba2-d164c0b6a53e,DE099018184649418710,IERRGBTPK26,DE518413640115550448,ETHRGBYVRNU,Us item after.,168.13,EUR,2021-09-04,01:56:53,False
9e981d08-9157-4735-8143-fe1af44765f9,DE543200330650156706,SEBHGBS0NEY,DE098148820242487705,GGNHGBHTK6V,Method fill among six left candidate never treatment.,9990.4,USD,2021-09-18,08:28:27,False
f83f0bba-16c2-4f9a-a752-8625c25e8b9b,DE641744508216346263,MZSWGBSIPWZ,DE674159368995423184,DOOAGBF8LQ9,Movement lawyer ago perform.,2608.06,USD,2022-08-26,02:56:55,False
7e43f92b-3ecb-4ebe-aaab-23a9d40614da,DE361551345530239916,UYKQGB419EO,DE857811106327585177,RNHCGB3EM7C,Voice describe herself cover.,9878.55,USD,2022-03-12,18:32:10,False
99cb52f5-d3ca-40a3-9b65-84db99cab57e,DE298456498353091606,FFIHGBEF40Z,DE481144899926487672,BMJSGBTYS9A,Join area pull discussion.,2146.5,USD,2021-02-18,03:09:00,False
3e916c5b-bced-4678-b9da-35b0abf3ca80,DE314026566737243947,WRZMGBPNNAX,DE794795872017210598,BKLQGBPYM9Q,Material prepare if discuss type.,154.81,USD,2022-02-25,12:59:24,False
a7988b1e-39ef-41fe-bcc3-9124730840d4,DE784193784360812709,EIZZGBWKFDJ,DE154277355634639212,ZVSGGBSOPFI,Project south lead vote world history.,9622.63,EUR,2021-04-18,19:11:08,False
e31712a9-9eae-487d-841a-ce8ec0de0cbd,DE713047716793344388,CEKSGB6VLNU,DE217286221948850371,QOKNGBYL0KW,Movie day decide use.,9669.33,EUR,2022-06-11,16:18:45,False
1ffe917e-f833-468e-bad4-23216e76e96f,DE001928612533592101,KVXOGBADQLA,DE012449035651218256,HRVJGBCTT6Q,Sing campaign share son world.,9496.94,USD,2022-03-09,10:51:28,False
